# z_cadidates 	 DM_EG_candidates
0.653603	706.034758
0.150367	219.526829
0.505393	811.587359
0.392027	528.138368
0.464269	358.138057
0.464744	604.475592
0.281057	436.584116
0.598896	323.226512
0.675648	373.665256
0.429763	442.512683
0.339190	657.750102
0.300255	198.228578
0.172242	94.218956
0.142103	155.683556
0.764166	1224.273921
0.075455	124.465651
0.281904	221.540757
0.142686	138.799573
0.236817	204.746465
0.295727	480.423824
0.426618	504.702589
0.689569	776.974423
0.473935	344.174071
0.402689	316.488242
0.611174	254.540470
0.236360	226.421246
0.140814	270.373824
0.269826	339.511344
0.306495	125.082538
0.074910	121.358687
0.196217	64.511294
0.408671	356.170058
0.410622	160.046189
0.303576	247.483058
0.222827	271.380833
0.433621	399.083487
0.366764	365.509700
0.654474	723.599019
0.093768	121.127097
0.682699	756.867106
0.368977	485.228964
0.231396	261.890773
1.009255	1037.213433
0.094896	33.223906
0.561955	573.311307
0.164093	242.906731
0.178671	193.224937
0.282333	158.068072
0.508628	724.796495
0.525102	138.790623
1.436399	794.828427
0.908600	935.094079
0.557419	590.149931
0.057534	139.173608
0.585110	543.523715
0.267899	135.764347
0.521263	517.862470
0.442579	224.180924
0.266022	310.806352
0.353251	260.877389
0.676545	575.390959
0.801959	1205.943671
0.151759	87.057337
1.856905	1763.885824
1.217070	1274.137428
0.281401	406.550473
0.456632	572.291742
0.883003	1485.822594
0.329567	102.191947
0.659642	584.818091
0.255494	381.805210
0.245360	356.012167
0.735438	862.886859
0.258896	402.049682
0.213795	313.318675
1.204725	1247.621415
0.562013	818.025682
0.431307	484.134734
0.509896	298.732626
0.317676	46.719835
0.426208	675.198333
0.186749	227.541677
0.361571	273.412158
0.257767	168.586745
0.768463	765.959824
0.327728	321.109163
0.518660	286.881764
0.545574	514.741512
0.467004	633.974573
0.367260	239.179069
0.240512	189.759510
0.415470	596.999472
0.462533	500.135060
0.910642	921.225846
0.192214	175.203437
0.208224	291.588783
0.741595	513.278999
0.174185	54.609005
0.901917	1122.368023
0.178435	133.216879
0.410609	451.627403
0.032073	57.625839
0.861971	1196.401235
0.143651	394.174909
0.282853	281.083487
0.298048	332.205089
0.291594	527.237774
0.517619	892.688175
0.178435	296.257796
0.223098	421.940646
0.156925	338.068084
0.328123	160.625092
0.109044	140.160184
0.741957	299.913731
0.192792	258.834563
0.742908	712.747560
0.399179	346.674219
0.561025	689.054921
0.162416	217.568476
0.614015	1042.630418
0.473921	406.230056
0.908599	819.390011
0.721746	723.469822
0.962858	679.724422
0.161492	265.307468
0.783423	885.238081
0.476735	437.417092
0.200478	218.674020
0.741799	494.326758
0.127336	330.266490
0.295142	384.208011
0.691367	1229.302739
0.177889	105.358746
0.248995	446.142297
0.367497	434.512560
0.181732	323.846402
0.449746	461.184797
0.287425	343.622000
0.339714	236.178731
0.211281	316.992379
0.373484	477.915565
0.686524	603.778063
0.352988	205.234626
0.195827	193.116905
0.710087	954.358560
0.388824	369.578550
0.117514	200.999415
0.290690	312.163725
0.259983	290.068994
0.331694	565.933309
0.144027	195.301630
0.239907	272.764471
0.176740	25.726277
0.795935	803.909329
0.390678	741.063400
0.533747	686.666371
0.482553	551.765219
0.805882	1006.109567
0.746021	626.865178
0.143235	222.047070
0.299955	373.966871
0.338988	175.867620
0.190461	138.068683
0.555165	642.400449
0.188224	583.272942
0.297924	294.261418
0.265040	171.484175
0.644369	283.376274
0.380250	438.192329
0.916125	892.024591
0.500382	628.079209
0.123899	52.427102
0.395076	434.369377
0.687518	721.250400
0.202338	208.948817
0.579655	527.086450
0.730099	1049.467257
0.805795	537.769125
0.123922	151.767166
0.407845	469.793378
0.317354	305.355924
0.580666	733.107338
0.257832	119.808095
0.149755	417.258882
0.422223	592.075331
0.631474	515.575383
0.512210	446.686367
0.392607	115.280930
1.032481	390.591478
0.460253	435.577696
0.583411	681.236272
0.549178	602.768624
0.274035	186.796448
0.278163	504.376260
0.541096	938.752060
0.804828	599.636263
0.355822	179.260818
0.776698	658.803228
0.110052	40.589865
0.227237	237.706403
1.090686	1148.248514
0.547065	842.781567
0.409308	459.905197
0.395728	336.860233
0.396737	788.019884
0.585465	471.540975
0.159065	226.668281
0.185690	162.906084
0.482983	622.083687
0.365770	428.866364
0.145595	128.561036
0.146877	316.562182
0.411437	328.846477
0.309884	309.065695
0.225136	210.553754
0.294114	383.125724
0.076272	231.945840
0.467809	450.726922
0.823373	810.503085
0.303844	426.549678
0.243518	341.785864
0.398997	280.655244
0.428562	546.842441
0.858486	847.895655
0.969486	1309.996986
0.258934	226.719155
0.162282	138.781168
0.128057	250.247792
0.698341	488.865088
0.274021	226.770849
0.363480	347.646958
0.133752	115.137929
0.444015	557.247825
0.704249	972.736780
0.832026	852.107647
0.307658	112.001618
0.589950	352.244882
0.425279	679.151009
0.110432	123.355455
0.491614	897.395812
0.461764	694.549755
0.341258	546.473869
0.305304	496.557302
1.259575	822.648325
0.588154	680.964643
0.268198	332.445466
1.120287	921.911115
0.177032	380.540254
0.430440	393.278611
0.269037	264.779053
0.274352	234.624623
0.915006	1326.654409
0.245819	499.752731
0.126645	123.164338
0.036314	92.091596
1.079490	1124.736008
0.639967	413.016707
0.066112	38.095128
0.259106	393.028884
0.120698	145.893042
0.871197	790.718287
0.479872	421.112066
0.472986	429.080078
0.464146	508.006253
1.140775	758.825325
0.256936	158.574507
0.327210	520.713900
0.751765	872.824510
0.122839	190.736317
0.390759	379.582356
0.119457	125.958846
0.116311	137.298515
0.174923	274.163417
0.331730	249.120753
0.651038	695.780627
0.457839	255.364120
0.756581	845.863722
0.164619	244.493499
0.193694	279.359489
0.313202	159.970024
0.312129	282.992793
0.454805	448.295670
0.510539	699.725925
0.101057	92.177800
0.118237	78.330675
0.498353	351.845393
0.644635	1194.454931
0.272720	254.802737
0.248322	271.207825
0.699684	789.578120
0.062733	162.329807
0.484823	642.649354
0.403429	649.059797
0.085247	26.050629
0.135881	322.613951
0.266576	74.885832
0.688892	734.279123
0.202588	323.270471
0.089690	119.049979
0.249326	328.773343
0.299637	324.427602
0.768037	723.225094
0.361959	397.191343
0.305368	623.788834
0.611169	1066.090757
0.176237	104.880214
0.775983	645.249980
0.347342	351.798986
0.750217	762.481660
0.399578	524.788029
0.109652	62.646545
0.230420	233.459127
0.446712	254.055313
0.160134	60.520698
0.925311	690.837492
0.733290	530.396051
0.325031	486.926635
