# z_cadidates 	 DM_EG_candidates
0.557731	534.638452
0.190869	130.784481
0.375782	350.859363
0.168479	96.231413
0.120063	89.000781
1.253546	1344.761989
0.546671	879.233151
0.746769	639.150316
0.283178	120.789477
0.514408	524.399171
0.594591	923.763312
0.733544	755.845087
0.211415	560.285462
0.061655	65.692644
0.088443	278.411705
0.415355	244.314225
0.402734	541.881723
0.189550	242.778116
0.990310	941.138563
0.497584	179.382967
0.430923	507.025455
0.208516	82.624641
0.155795	142.263489
0.648038	812.059144
0.241350	219.052178
0.179184	115.445884
0.670523	880.742225
0.875703	617.894815
0.329162	506.340369
0.268197	367.309507
0.351861	428.036952
0.165535	267.948445
0.327344	5.581788
0.059193	112.926945
0.271858	198.254623
0.667455	522.402467
0.124243	233.981140
0.938178	1004.838337
0.183882	212.764834
0.658189	864.857289
0.115611	130.107947
0.559797	690.652425
0.103752	43.793626
0.929893	611.139976
0.523391	317.518265
0.202523	253.721341
0.283510	334.943071
0.447459	803.549635
0.212051	301.408201
0.652461	641.963243
0.230494	269.295899
0.322022	277.306477
0.205684	55.546618
0.150334	278.691354
0.126124	94.881387
0.834620	1027.336027
0.293395	205.323857
0.088532	14.750569
0.190098	198.187510
0.071417	102.406445
0.219853	411.848955
0.331433	148.351379
0.341244	457.706001
0.175605	214.198050
0.239992	205.010753
0.363967	438.739666
0.239785	271.270691
0.437352	729.027539
0.320573	338.407114
0.458405	780.633573
0.309030	313.095177
0.130766	60.499598
0.936014	1009.531926
0.084956	66.463194
1.000006	1083.797908
0.804069	1089.675333
0.226210	387.084472
0.149659	165.502456
0.279649	540.657657
0.647315	352.692009
0.115489	247.377483
0.331860	599.056471
0.334227	593.024112
0.500940	330.492165
0.875426	920.686960
0.402298	484.103578
0.361226	451.226992
0.384353	295.902967
0.713175	695.958002
0.281377	171.675462
0.202980	201.538002
0.870953	1031.489146
0.227050	215.209689
0.692999	742.838334
0.143931	93.736681
0.290165	352.639604
1.173954	871.612034
0.165273	252.170792
0.033478	57.466785
0.286659	191.023083
0.274074	466.874364
0.291554	311.688292
1.147958	1117.413870
0.164485	102.727460
0.098107	167.527463
0.470384	602.732153
0.263093	208.400049
0.118468	40.191215
0.189621	180.594707
0.492444	246.579157
0.216195	185.906535
0.343416	474.414987
0.132747	94.113077
0.160903	251.415966
0.412552	359.982912
0.239746	352.879882
0.406985	526.280955
0.266170	336.338290
0.236104	555.516763
0.610619	187.368233
0.136903	163.695450
1.309624	1529.285105
0.124863	77.661186
0.332171	285.057779
0.147346	406.771081
0.253823	405.181660
0.295142	320.749422
0.393561	362.567534
0.717201	885.029732
0.350940	440.109823
0.417301	669.045279
0.105528	174.161602
0.167434	269.486111
0.217990	216.753019
0.261576	384.467445
0.094560	98.521557
0.386652	272.588817
0.123892	37.578654
0.276500	486.481929
0.212014	380.392827
0.543610	844.826832
0.740579	649.403281
0.332360	684.029821
0.046728	29.007903
0.602782	874.465852
0.420360	349.706282
0.519545	474.372300
0.479260	566.330736
0.172517	297.187279
0.342878	169.659776
0.296397	187.901448
0.153101	181.365913
0.330036	34.277418
0.115301	218.459521
0.358350	431.362260
0.495899	668.052735
0.921698	1376.134934
0.956285	908.047965
0.533461	523.721079
0.991708	587.261678
0.146399	104.097412
0.323727	85.900071
0.368365	305.653058
0.106898	8.535144
0.178874	80.109999
0.230525	219.431791
0.237325	218.684208
0.973568	1456.873352
0.330660	545.963619
0.879724	1376.841056
0.098884	229.682189
0.369440	326.228786
0.153450	167.770476
1.293754	1289.635359
0.191123	192.141670
0.416364	369.215671
0.218270	184.727904
0.801366	721.854189
0.157710	71.140024
0.505190	581.538474
0.606966	691.360671
0.114048	153.262017
0.192849	47.368791
1.257548	1369.388928
0.528123	321.418131
0.113324	110.432194
0.969556	1159.205929
1.029043	1224.419718
0.359624	336.776803
0.394196	226.991417
0.805269	807.767603
0.364081	740.056418
0.379682	333.323777
0.820361	901.424429
0.082855	50.547130
0.283562	391.904023
0.136894	247.839309
0.858921	493.624599
0.480905	301.124940
0.531735	895.701854
0.227039	95.448211
1.480568	1694.648461
0.250964	253.341724
0.442206	786.489936
0.118393	205.227711
0.493346	447.342876
0.770917	923.169145
0.320890	207.097505
0.512355	417.841864
0.608510	655.714035
0.166422	100.418680
0.547987	550.996903
0.383962	480.166253
0.154037	246.119808
0.300775	595.020783
0.244062	118.630799
0.360473	415.055519
0.364236	181.046672
0.654256	599.992786
0.399890	325.989094
0.371462	548.551417
0.200440	311.589834
0.592912	777.119735
0.627049	534.946566
0.846539	536.059774
0.608817	623.283725
0.252002	185.237305
0.290186	99.769055
0.332443	587.278179
0.640076	512.829396
0.367302	590.203995
0.229588	313.477386
0.339545	99.367455
0.330090	127.278245
0.755337	1047.107120
1.034513	1302.698276
0.674580	742.314616
0.739322	620.129652
0.167695	230.517476
0.338169	230.455605
0.258876	303.096690
0.372202	511.569448
0.203275	97.715469
0.226100	45.991570
0.294769	239.211557
1.241861	1197.118683
0.505817	942.258334
0.656159	948.485500
0.437389	571.501031
0.570702	370.161998
0.673168	739.189472
0.140558	71.229617
0.118263	194.758510
0.331773	323.193978
1.162538	1048.721737
0.503823	271.853937
0.187425	384.970876
0.240290	203.828609
0.539789	402.309784
0.167845	424.675413
0.455925	470.565676
0.424733	326.333940
0.103401	44.428912
0.252315	351.524584
0.199501	120.679761
0.621851	688.394769
0.116095	15.270212
0.748335	899.720508
0.387395	464.799063
0.145603	121.013815
0.160050	252.443225
0.438765	729.157579
0.117104	209.323946
1.055558	1214.060126
0.512367	478.149688
1.146566	928.993730
0.463227	482.147856
0.394726	534.200104
0.135166	44.581220
0.275277	130.429880
0.691494	908.580321
0.546393	796.481940
0.576808	572.369396
0.429374	383.981474
