# z_cadidates 	 DM_EG_candidates
0.520219	491.178823
0.796004	293.588878
0.383457	526.481373
0.413200	370.509283
0.433712	918.274321
1.274112	1060.262560
0.748363	937.044647
0.267694	384.152021
0.178267	67.017106
2.295409	2456.321613
0.177247	130.967049
0.599237	276.735526
0.807518	1268.666298
0.182793	285.421287
1.055748	1132.749397
0.346780	248.508190
1.191074	781.503285
1.507361	1616.628527
0.304293	314.739551
0.725929	1071.411631
0.129660	92.842335
0.227203	58.947965
0.779535	1070.699792
0.100574	209.305052
0.293804	289.981058
0.179134	322.032272
0.862124	1028.558017
0.277603	296.908450
0.915660	801.733996
0.061220	78.017029
0.692669	795.597296
0.319610	188.128792
0.680756	793.673827
0.569699	450.587047
0.597409	282.873166
0.812853	946.810979
0.892653	1124.029923
0.740391	872.832243
0.157768	85.913251
0.265632	369.202118
0.198285	219.328458
0.624222	756.206522
0.488864	671.817966
0.290359	132.556334
0.538443	573.505333
0.276334	262.577577
0.805734	718.104758
0.258738	278.341197
0.225110	323.685839
0.179710	121.239719
0.238801	241.833223
0.484167	276.444660
0.159791	205.668023
0.239908	105.520766
1.281740	1048.540795
0.799231	766.063931
1.115963	1330.833170
1.007241	751.684323
0.382448	693.170167
0.236575	277.378057
0.137467	147.848872
0.620467	522.732480
2.179542	2105.386813
0.283292	312.205350
0.272706	262.538126
0.577431	254.117072
1.211168	1442.354744
0.111504	44.762534
1.509521	1270.703482
0.327515	209.032058
0.140291	192.033660
0.894234	1068.015645
0.241849	201.571848
0.657239	720.542646
0.142996	125.293881
0.839787	844.537329
0.195373	336.101370
0.554491	837.020933
0.725905	730.025769
0.997230	1165.080910
0.438925	336.305916
0.261956	228.910470
0.716688	754.312633
0.812221	1244.133182
0.420717	576.770707
0.295660	265.148422
0.146579	50.641030
0.605053	267.327344
0.249494	469.504626
0.260603	496.064229
0.107613	114.571588
0.310161	422.168296
0.194318	187.240332
1.048588	967.531668
