# z_cadidates 	 DM_EG_candidates
1.205523	1440.895499
0.647991	825.809948
0.936042	1035.271984
1.435016	1489.511656
0.797937	664.384545
0.614557	590.777405
0.286392	353.332373
0.513982	486.157720
0.752458	580.806963
0.128505	381.085622
1.324359	1273.495718
0.645439	427.392983
0.708509	881.454263
0.391389	263.462943
0.677428	628.445402
0.405311	462.754561
0.173483	77.274348
0.494616	349.031859
0.807577	584.382139
0.155507	137.292983
0.883955	791.331921
0.324450	299.209965
0.488124	915.182196
0.164989	320.626935
0.860040	1252.424805
0.443892	367.644791
0.647463	916.768598
0.149840	145.673074
0.133243	218.815495
0.370393	500.405227
0.239228	488.076609
0.954344	1318.367981
0.200789	175.349217
0.347197	89.408399
0.266290	318.406027
0.602811	699.806818
0.864768	776.695890
0.534113	286.442828
0.505380	518.953557
0.619216	980.296396
0.708877	467.175959
0.248251	206.005416
0.150000	116.611147
0.884529	1077.963535
0.140173	151.086824
0.187349	46.111722
0.186531	166.697023
0.911681	831.296057
0.666894	479.143766
0.060322	138.735701
0.294624	206.374450
0.210324	29.728207
1.751828	2012.287988
0.315808	255.101970
0.244858	378.903216
0.753575	843.191124
0.203840	216.000819
