# z_decected 	 DM_EG_detected
0.520407	597.330861
0.178350	185.666312
0.254416	142.429031
0.235870	79.962771
0.562110	313.419011
0.070124	55.558157
0.263349	27.825494
0.408226	332.422265
0.128955	116.055315
0.136079	62.318932
0.129482	247.197102
0.054643	41.176431
0.398431	468.931287
0.275046	420.900337
0.142605	79.426606
0.023279	66.945974
0.173146	67.792430
0.033177	56.760326
0.167592	37.906830
0.279910	314.856008
0.138112	356.203787
0.227319	361.873022
0.107641	101.479962
0.138966	166.672243
0.323224	300.713731
0.017362	24.457721
0.007535	19.308065
0.310522	184.502568
0.059929	61.726946
0.165596	224.700220
0.210105	147.786603
0.146036	91.093523
0.280622	364.096962
0.142915	214.680914
0.714411	580.568095
0.058071	34.561102
0.183155	213.425112
0.117619	64.393850
0.025100	31.146413
0.185022	73.011050
0.849813	1045.362617
0.312430	98.221931
0.309611	368.139603
0.051515	72.088588
0.314684	220.149760
0.491452	775.446945
0.415336	535.399871
0.250071	187.836857
0.029966	25.491763
0.389570	468.823728
0.132268	228.206828
0.427009	431.379441
0.770427	646.186669
0.036010	46.561009
0.274532	71.404982
0.090298	168.170879
0.087243	149.661525
0.302172	236.982003
0.155571	61.934404
0.545793	719.373768
0.111038	240.355630
0.330864	303.534100
0.281564	347.610087
0.456928	343.101838
0.291764	152.972168
0.094786	119.672386
0.089086	14.904586
0.221843	170.865080
0.148814	194.333125
0.519122	650.950031
0.076070	101.771872
0.380161	371.271665
0.099700	50.519630
0.192282	187.567043
0.332227	253.785511
0.084203	34.329060
0.209985	100.442818
0.805532	677.117584
0.909776	1157.505978
0.139984	189.286422
0.373656	619.059716
0.403835	339.714578
0.192296	216.090733
0.975817	808.930177
0.251600	213.051551
0.319389	255.885574
0.135090	67.380848
0.050355	66.491152
0.279314	450.752291
0.216740	425.329000
0.505637	731.004825
0.251067	312.355346
0.147774	76.623244
0.436042	488.438771
0.051293	78.419030
0.082885	145.262166
0.094402	41.453299
0.368260	377.687685
0.294915	276.703350
0.300371	301.810881
0.420558	562.135759
0.131960	103.334390
0.023724	32.834445
0.644665	791.438164
0.207405	75.742427
0.253269	327.624788
0.294344	432.344616
0.320689	292.294634
0.528838	413.832674
0.060850	4.057913
0.388834	409.207113
0.045059	71.166402
0.277342	329.071312
1.342493	1664.191828
0.329756	495.537972
0.168225	374.911783
0.378531	422.463375
0.090454	193.463466
0.287151	126.994431
0.356903	211.422928
0.512222	705.948429
0.046733	44.631012
0.412440	404.980604
0.419859	415.721807
0.454117	431.740128
0.385777	780.470318
0.460245	332.962244
0.535232	928.425457
0.421103	222.002821
0.196832	156.663209
0.043285	24.163689
0.072812	235.365122
0.101477	323.541276
0.268629	239.072524
0.205987	256.244407
0.264217	430.438345
0.144279	209.202093
0.292537	90.750299
0.428716	565.622387
0.297195	73.815773
0.346463	110.740948
0.158417	79.052660
0.130697	59.668277
0.371341	40.638707
0.146646	148.208050
0.416453	181.530319
0.345612	316.147950
0.073022	138.088820
0.254501	91.738027
0.179683	265.983619
0.160870	279.068874
0.309485	244.973120
0.254857	397.630233
0.297425	538.894182
0.207156	179.123218
0.115292	221.563869
0.218678	437.550043
0.040028	51.626035
0.077379	118.693139
0.025081	19.312302
0.144533	46.530266
0.085603	200.540254
0.589394	567.271082
0.094146	77.177533
0.465497	450.668269
1.370536	1282.849722
0.399190	588.504154
0.360221	443.829447
0.312970	253.442665
0.415563	301.499596
0.164363	93.382892
0.088174	246.871945
0.107808	155.469951
0.229644	292.548254
0.475797	229.479061
0.157389	175.386171
0.185202	87.577956
0.462782	506.092641
0.445488	166.017801
0.182361	130.599080
0.799415	713.793811
0.089173	120.693974
0.227572	149.825765
0.707900	931.744246
0.115570	72.142533
0.112925	258.883721
0.152288	128.134648
0.121250	155.702457
0.135129	153.150621
0.240358	70.804361
0.057306	45.017443
0.126852	89.948400
0.509302	471.084442
0.516269	539.110556
0.969724	1158.493019
0.376774	423.174948
0.093154	81.388344
0.067617	50.456785
0.137030	83.145240
0.386923	512.212227
0.232279	252.477039
0.660712	608.310635
0.248909	329.102873
0.378759	167.374727
0.564484	426.807090
0.319706	552.711771
0.049232	41.836688
0.039037	19.143241
0.231878	485.630711
0.258899	158.160559
0.114049	136.356625
0.064362	18.428798
0.228467	213.260308
0.486859	514.938633
0.190373	82.291864
0.279541	259.938380
0.105853	196.035371
0.590963	517.953535
0.304537	466.345280
0.108544	364.338281
0.502692	536.324988
0.492265	483.101331
0.520570	446.462471
0.322390	385.426280
0.295710	470.456080
0.109155	208.733104
0.050801	108.975655
0.109283	96.862275
0.092209	35.836717
0.374821	202.135572
0.161957	252.322996
0.161940	64.983543
0.174310	86.160622
