# z_decected 	 DM_EG_detected
0.154254	94.358533
0.169336	438.619048
0.097109	27.011990
0.121825	123.274769
0.639663	772.979903
0.167427	219.611689
0.021373	32.733598
0.039729	29.553378
0.089104	77.523441
0.284595	386.238884
0.485689	300.564045
0.056683	127.491106
0.131051	34.473592
0.772451	1200.905485
0.649443	517.882218
0.213849	258.302161
0.067146	44.858409
0.146820	117.530991
0.688888	817.576416
0.057988	167.207760
0.487068	712.786236
0.069752	160.459486
0.082254	157.194967
0.289559	329.952940
0.117217	82.513148
0.243015	513.135923
0.320695	299.231494
0.225113	177.553343
0.287566	40.178411
0.193900	146.094517
0.473407	761.947618
0.071744	72.669580
0.126494	344.147812
0.082946	78.734254
0.130889	121.712517
0.701519	646.007408
0.418000	37.884090
0.251527	346.311131
0.317517	559.231901
0.286441	504.532396
0.419257	112.409552
0.350583	499.360040
0.148336	246.447462
0.706652	442.872699
0.369505	331.947050
0.665680	843.930862
0.181537	96.622605
0.064653	124.290683
0.158552	363.521317
0.182825	150.628858
0.286724	421.667680
0.680658	875.776771
0.097032	119.363220
0.173863	88.632609
0.258109	374.094498
0.106359	135.721078
0.336057	484.325892
0.266296	438.719494
0.200700	62.269915
0.119065	55.686083
0.061493	105.362239
0.147464	75.126943
0.397808	724.205920
0.129458	153.844577
0.235633	202.723832
0.252689	94.952186
0.055909	90.704142
0.139180	101.146734
0.183115	48.236188
0.124808	292.175754
0.536469	918.523324
0.004317	11.967699
0.245138	208.003731
0.213548	229.008084
0.181967	171.520386
0.130028	158.908357
0.071828	59.425689
0.063759	65.152707
0.157609	153.647892
0.071971	96.728382
0.267198	332.814465
0.093510	47.763265
0.141924	230.560768
0.212170	534.201351
0.038495	20.024313
0.213727	318.964241
0.196309	312.223308
0.486830	458.999674
0.048981	128.744622
0.211770	175.356365
0.111588	68.083988
0.035395	62.370161
0.098792	52.552398
0.309044	423.119860
0.262601	418.841721
0.212612	36.394400
0.109006	101.416719
0.444328	488.214760
0.069907	64.909287
0.550104	51.636349
0.066713	143.321012
0.110205	384.670556
0.041326	48.376596
0.270891	172.015577
0.071891	47.366602
0.269206	58.483144
0.073117	119.016364
0.158110	346.035063
0.116528	228.407874
0.109277	185.872098
0.109609	73.630753
0.082362	208.790463
0.235307	234.474842
0.433365	383.523188
0.303420	343.471541
0.595262	419.270327
0.757956	705.943237
0.096400	123.635321
0.549160	435.317744
0.047946	39.543135
0.204563	192.032669
0.302482	191.819199
0.183582	231.559609
0.106989	94.071499
0.121124	150.653288
0.496514	740.317127
0.192144	238.512455
0.669693	622.229668
0.232401	31.989338
0.149041	385.364087
0.132773	20.848278
0.248382	202.875342
0.196463	133.469223
0.064625	89.557504
0.240851	12.286008
0.019024	40.492726
0.434238	492.771297
0.047773	11.610168
1.140876	1313.494822
0.240542	259.759176
0.233818	458.682201
0.555746	902.418256
0.061697	121.284576
0.103083	91.699259
0.272569	519.973086
0.352272	564.654778
0.463211	561.404566
0.108537	275.469340
0.308092	401.803201
0.170216	392.707003
0.158505	312.746910
0.092337	99.798668
0.141621	262.235194
0.044522	72.439261
0.154625	163.132980
0.501419	343.117313
0.055320	94.512909
0.091951	281.623460
0.115520	24.670949
0.430803	321.108697
0.072304	73.153141
0.103131	95.749498
0.230009	417.104543
0.119562	132.599540
0.539227	600.302717
0.043494	32.070828
1.018527	1194.222672
0.067622	193.629435
0.973281	1063.783101
0.729396	764.637995
0.279497	204.485713
0.044854	72.724255
0.072138	81.202366
0.106397	221.278149
0.121703	133.041893
0.212020	185.285227
0.312270	612.964108
0.161192	134.402366
0.112287	165.559742
0.073820	12.290311
0.319568	312.459662
0.656110	552.812272
0.055462	36.234309
0.298942	237.593685
0.061448	127.149153
0.897569	1217.177400
0.135033	79.386104
0.182333	196.147994
0.146300	204.340901
0.465006	411.581028
0.307601	471.565290
0.124526	36.439568
0.057552	163.692903
0.263602	109.681357
0.095257	276.603369
0.205216	288.479247
0.486291	433.527327
0.082704	139.894660
0.238520	332.654667
0.294901	117.845578
0.356533	356.325301
0.079914	173.849238
0.545615	932.226305
0.969505	1261.610218
1.224815	1104.267130
0.274854	297.664385
0.194140	73.310089
0.454879	453.457053
0.394752	501.316967
0.216790	367.011194
0.296392	144.321026
0.199290	189.745524
0.090854	43.438952
0.540789	301.252330
0.062251	63.015249
0.181006	83.499659
0.218568	280.286140
0.895275	928.146496
0.345589	193.948919
0.261465	550.784351
0.108033	93.021850
0.153404	146.783530
0.455542	370.982431
0.056147	75.927391
0.169438	239.307942
0.944671	881.674819
0.214497	235.165050
0.307018	497.754757
0.017252	22.818517
0.316423	270.778016
0.087111	75.688267
0.196803	358.437220
0.123611	280.673837
0.238686	75.406854
0.033892	21.464560
0.794726	798.611122
0.124765	101.886876
0.066596	200.240692
0.087314	131.777458
0.559339	759.601956
0.136955	186.223791
0.955793	1208.178959
0.690556	810.454755
