# z_decected 	 DM_EG_detected
0.071786	53.079191
0.291005	258.150995
0.156971	63.805877
0.167605	157.455865
0.243881	140.282485
0.364467	622.048661
0.536995	796.164678
0.183327	307.850990
0.289982	201.998705
0.214288	210.820879
0.411653	245.876571
0.315191	191.241794
0.660185	489.688086
0.115477	103.683994
0.416401	562.261199
0.375114	189.834455
0.083457	42.796811
0.465972	374.475643
0.282418	493.048439
0.408194	405.136450
0.141072	22.711611
0.271004	408.064620
0.070424	177.531975
0.266509	117.199200
0.266824	50.651603
0.272150	403.365630
0.098089	117.787407
0.274625	279.122269
0.893416	922.386513
0.186906	205.715960
0.029712	60.896373
1.075772	850.660530
0.101948	184.099262
0.099333	249.229416
0.200805	301.010860
0.223642	143.186384
0.059718	23.461852
0.168205	55.023398
0.158654	232.873096
0.249052	353.157789
0.569671	663.688858
0.094739	132.710637
0.053024	81.824851
0.574639	120.554102
0.404132	608.134674
0.278518	414.804207
0.161430	307.758807
0.508808	437.435980
0.038043	37.938425
0.187850	365.288680
0.544555	669.997513
0.164861	150.497227
0.075782	80.638564
0.179818	565.883609
0.102548	130.041976
