# z_decected 	 DM_EG_detected
0.238984	469.171084
0.177469	295.376292
0.330249	167.659072
0.092331	133.768075
0.564968	482.742806
0.622363	647.547193
0.137017	102.705508
0.193935	257.482751
0.221300	42.076675
0.034099	56.112878
0.028760	2.155324
0.275094	503.769873
0.309563	350.823547
0.213855	133.106490
0.152813	148.183070
0.358641	250.907081
0.275183	272.849961
0.329616	466.823951
0.390799	312.940316
0.153060	237.078305
0.175404	85.704340
0.280254	111.412215
0.090229	227.167283
0.207389	405.259980
0.248935	428.785574
0.083625	28.506612
0.368963	475.936962
0.078248	167.135970
0.315577	330.927566
0.326942	344.924435
0.444259	353.820338
0.166158	187.044863
0.473191	207.719852
0.059709	150.211735
0.129468	369.458389
0.082222	63.156803
1.096276	1051.457021
0.142782	343.196524
0.261259	444.849363
0.210355	441.406959
0.279224	153.519477
0.844750	1031.180083
0.552068	527.976912
0.063658	216.399196
0.507020	485.796553
0.109227	280.451715
0.177605	193.838897
0.414675	339.084770
0.106602	139.645595
