# z	DM_EG
1.861199	2068.181740
5.420841	4521.174428
3.600639	3047.554037
2.841747	2864.455581
1.054592	1077.485543
1.054501	1362.643018
0.642610	1036.256951
4.599818	3960.502401
2.854220	2658.295640
3.450570	3171.155385
0.411084	130.231499
5.636085	4901.296147
4.319180	3829.029677
1.262224	1333.963604
1.150669	1396.804577
1.156487	1240.012238
1.596665	2112.829803
2.487205	2549.354505
2.088498	2311.885554
1.548861	1597.398312
2.909316	3375.204651
0.991666	1233.240798
1.552216	2196.041522
1.829749	2692.710203
2.187990	1315.285180
3.961500	3757.555946
1.216101	1764.779395
2.439667	1864.836485
2.810259	3022.986576
0.580956	517.580401
2.887098	2970.691228
1.108860	1220.927264
0.677160	768.927914
5.400966	4507.846225
5.587041	4320.285793
4.132434	4151.639609
1.598034	1945.680409
0.823873	842.129868
3.307687	3442.697090
2.122055	2392.300012
0.923452	985.449115
2.355210	1949.873832
0.509493	443.982231
4.995353	4880.415921
1.430612	1274.377441
3.182895	2694.582647
1.624232	1178.869277
2.465940	2179.955139
2.588606	3202.815633
1.161821	982.793889
5.632335	4711.575419
3.890228	3270.071981
5.300592	4555.801438
4.857478	4310.901448
2.837906	3076.543019
5.119225	4378.358783
0.784524	1033.387124
1.202619	1368.058470
0.574116	784.138795
1.674782	2311.266932
1.916071	1899.853603
1.476288	1842.554365
4.289719	4175.731670
1.793054	1861.329543
1.511220	2274.812622
2.569834	1942.297391
0.997169	1042.126948
4.085924	4050.861019
0.722087	622.885676
5.837182	4640.104884
3.870016	4037.549829
1.212604	1395.036629
0.245944	363.704985
4.186227	3709.394242
3.443130	3289.389333
3.581515	3671.455175
3.863224	3541.196900
0.719749	597.989699
1.799574	1584.779239
0.898794	628.541597
4.573284	3825.701266
2.969100	2623.445113
1.695562	1301.731061
0.669881	607.449267
1.621538	1032.615316
1.674234	1605.338080
3.585341	3322.042416
3.045178	2632.443631
4.787131	4560.290916
2.256086	2414.724447
0.913722	843.946350
3.482429	3601.156933
3.791023	3471.664307
2.657636	2379.115878
3.861114	3523.931876
2.349168	1984.505882
2.478010	2573.833844
2.070610	1894.511286
0.448433	130.254706
0.866388	1237.884681
0.490289	394.984185
3.038991	3497.097961
1.634020	1850.339138
2.414350	2185.617376
4.978381	3701.573392
1.396202	2038.328926
2.001672	2217.519302
3.755573	3523.138236
1.321945	1806.852285
0.733237	690.371302
1.543449	1418.442509
1.074146	1355.763033
5.198623	4214.947753
4.130343	3104.737525
3.022829	2734.159538
4.645933	4698.169352
4.096930	3349.301925
1.168127	962.940544
4.836375	4619.466953
2.554230	2380.305689
4.125212	4412.478074
4.869291	4246.394297
1.647540	1771.821602
0.875227	1064.769536
1.318818	1464.740170
2.068854	2332.194247
4.205885	4002.396096
4.552932	3758.387191
0.268320	200.700467
2.424057	2839.927579
2.029768	2325.716814
1.297689	1318.991894
0.914804	1031.657380
1.720727	1638.083031
5.336750	4691.014569
1.666860	1850.331598
2.460170	1661.158183
3.419744	4031.333289
1.819287	2086.972374
5.657751	5682.400979
5.550938	4296.419637
1.405229	2013.942430
2.364291	2729.990158
1.584281	2145.225918
1.525486	1418.510782
0.525119	440.235490
2.897494	3109.142553
2.388211	2442.807307
0.608307	730.388936
1.502873	1948.918805
4.985139	4759.253931
1.360944	1020.389320
1.012385	826.456090
2.330238	2589.217255
5.822176	4680.290842
1.369978	1732.618446
3.237551	3017.955468
3.796712	3202.803390
1.353973	1034.316186
3.576470	3604.480442
1.835200	2285.092917
3.016948	2520.982719
3.023505	2602.722116
2.537712	2398.328219
0.792325	610.672704
4.342096	4281.904642
1.657850	1775.028344
1.167938	1272.412013
0.548512	305.435824
2.802632	2920.432834
3.268834	3636.334235
0.376681	306.525431
2.430073	2640.222538
1.313600	1335.640615
3.086562	2652.386444
1.123116	1016.846690
3.347231	2876.874091
1.908494	2173.141315
5.271496	4336.788358
0.984057	887.561997
1.733699	1894.208753
0.889128	956.947225
5.147639	4705.164558
4.697964	3892.144282
1.427570	1498.546625
3.168618	2327.989111
4.199770	3727.867678
2.628666	2840.350941
2.509546	2453.303892
1.369242	1401.490336
0.804437	714.955617
4.879834	4397.770544
4.910032	4013.463736
3.021209	2659.255893
1.726041	1851.013288
1.764429	1796.447945
3.562093	2919.174473
4.878844	4375.101573
4.785976	4633.755483
3.923692	3492.837040
3.069427	2761.034828
0.765413	830.341695
1.075673	822.873152
4.892425	4819.784022
2.881369	2372.616118
0.298686	97.083385
0.839824	555.631491
3.188421	3381.894262
0.238035	288.579305
1.072597	1612.726096
2.598109	3109.009719
3.352919	3448.702553
3.123909	2864.691318
1.305528	1239.909737
3.475840	3223.975297
1.352566	1049.928304
1.675040	1824.229148
3.695108	4152.263379
