# z_cadidates 	 DM_host_candidates
0.653603	5.812413
0.150367	5.853951
0.505393	42.901099
0.392027	27.629165
0.464269	16.092562
0.464744	7.218830
0.281057	147.088215
0.598896	15.115322
0.675648	23.312751
0.429763	26.127900
0.339190	19.156659
0.300255	30.246607
0.172242	3.017115
0.142103	8.426078
0.764166	11.285060
0.075455	11.219304
0.281904	21.733962
0.142686	28.399800
0.236817	26.528567
0.295727	7.755523
0.426618	41.194367
0.689569	14.267010
0.473935	90.288004
0.402689	4.776827
0.611174	28.747160
0.236360	25.821198
0.140814	3.692390
0.269826	19.586918
0.306495	39.445404
0.074910	16.440706
0.196217	5.051948
0.408671	23.763020
0.410622	17.416952
0.303576	5.259763
0.222827	6.653993
0.433621	21.073721
0.366764	18.621010
0.654474	38.568906
0.093768	14.206780
0.682699	33.636270
0.368977	43.555859
0.231396	34.830740
1.009255	28.782829
0.094896	15.900015
0.561955	38.210712
0.164093	14.737116
0.178671	12.345532
0.282333	28.601647
0.508628	22.338998
0.525102	9.266707
1.436399	40.852804
0.908600	20.661108
0.557419	22.991669
0.057534	5.433549
0.585110	43.246448
0.267899	6.436667
0.521263	14.772815
0.442579	17.568683
0.266022	2.796503
0.353251	23.689332
0.676545	27.051501
0.801959	50.811106
0.151759	14.058976
1.856905	5.983933
1.217070	24.936716
0.281401	6.968019
0.456632	15.668729
0.883003	68.929870
0.329567	3.358844
0.659642	41.478770
0.255494	15.754886
0.245360	18.382782
0.735438	44.898327
0.258896	22.344591
0.213795	33.376142
1.204725	32.950627
0.562013	9.516598
0.431307	5.871326
0.509896	19.637815
0.317676	5.417927
0.426208	3.948349
0.186749	47.898253
0.361571	11.239273
0.257767	13.476281
0.768463	65.282366
0.327728	21.011559
0.518660	46.855580
0.545574	80.972061
0.467004	21.525295
0.367260	46.663779
0.240512	4.517707
0.415470	2.447669
0.462533	41.799304
0.910642	2.344743
0.192214	4.184597
0.208224	27.883813
0.741595	37.462430
0.174185	54.903337
0.901917	31.382068
0.178435	2.628642
0.410609	23.944681
0.032073	3.508031
0.861971	7.209028
0.143651	18.582133
0.282853	16.550184
0.298048	3.106780
0.291594	18.167044
0.517619	26.041804
0.178435	27.293753
0.223098	28.930696
0.156925	2.528797
