# z_cadidates 	 DM_host_candidates
0.557731	35.353130
0.190869	3.732916
0.375782	28.827754
0.168479	3.570133
0.120063	12.974427
1.253546	24.582313
0.546671	38.162366
0.746769	10.987357
0.283178	14.180301
0.514408	32.859937
0.594591	21.524791
0.733544	21.574556
0.211415	12.162824
0.061655	11.934249
0.088443	58.143960
0.415355	31.068563
0.402734	42.557325
0.189550	39.129224
0.990310	57.419206
0.497584	6.050823
0.430923	25.440250
0.208516	11.282892
0.155795	18.839587
0.648038	28.069076
0.241350	53.304459
0.179184	4.708750
0.670523	33.778616
0.875703	7.053837
0.329162	20.242479
0.268197	1.455470
0.351861	9.056384
0.165535	33.999893
0.327344	5.023290
0.059193	13.308434
0.271858	5.253620
0.667455	15.026011
0.124243	13.318311
0.938178	18.173805
0.183882	32.851454
0.658189	44.837399
0.115611	16.823068
0.559797	13.224045
0.103752	6.533810
0.929893	69.881793
0.523391	28.470622
0.202523	34.021173
0.283510	28.268958
0.447459	23.325745
0.212051	39.693519
0.652461	16.088255
0.230494	25.227863
0.322022	2.502316
0.205684	13.248741
0.150334	2.663963
0.126124	33.560932
0.834620	25.869750
0.293395	19.182704
0.088532	7.022930
0.190098	12.710210
0.071417	17.445250
0.219853	24.267120
0.331433	26.823680
0.341244	31.722580
0.175605	4.192363
0.239992	8.479492
0.363967	28.746634
0.239785	17.570950
0.437352	27.125076
0.320573	155.847808
0.458405	4.886394
0.309030	26.758537
0.130766	2.420459
0.936014	13.506265
0.084956	23.128796
1.000006	12.578461
0.804069	18.552987
0.226210	6.167636
0.149659	12.915089
0.279649	11.591980
0.647315	9.487811
0.115489	9.346803
0.331860	8.077587
0.334227	5.298381
0.500940	15.050687
0.875426	82.107658
0.402298	18.212396
0.361226	7.946354
0.384353	7.179703
0.713175	4.410015
0.281377	3.438001
0.202980	30.800164
0.870953	9.803220
0.227050	21.763688
0.692999	42.407019
0.143931	0.965296
0.290165	19.376585
1.173954	32.443736
0.165273	25.119156
0.033478	4.658143
0.286659	5.013037
0.274074	16.223412
0.291554	14.273141
1.147958	31.070809
0.164485	11.110100
0.098107	6.261415
0.470384	9.255843
0.263093	5.523756
0.118468	18.058940
0.189621	31.475709
0.492444	13.746196
0.216195	21.293390
0.343416	26.156900
0.132747	26.508017
0.160903	3.598910
0.412552	57.516740
0.239746	19.235904
0.406985	6.767647
0.266170	9.121278
0.236104	12.086867
0.610619	4.141750
0.136903	38.420620
1.309624	4.743284
0.124863	12.821393
0.332171	13.148939
0.147346	3.937047
0.253823	4.011734
0.295142	19.443790
0.393561	48.943023
0.717201	44.842130
0.350940	9.973403
0.417301	20.001085
0.105528	21.580988
0.167434	4.422491
0.217990	26.928729
0.261576	90.798136
0.094560	22.594052
0.386652	9.299402
0.123892	18.140353
0.276500	24.811008
0.212014	43.896069
0.543610	24.416656
0.740579	16.756251
0.332360	32.582684
0.046728	11.716783
0.602782	15.333592
0.420360	3.634541
0.519545	32.489801
0.479260	46.405505
0.172517	58.670541
0.342878	22.981214
0.296397	21.174766
0.153101	16.261185
0.330036	22.423916
0.115301	18.374957
0.358350	61.225177
0.495899	16.548819
0.921698	11.128089
0.956285	16.485144
0.533461	11.037952
0.991708	33.498455
0.146399	3.972384
0.323727	9.406174
0.368365	12.769888
0.106898	6.883138
0.178874	1.697916
0.230525	7.952911
0.237325	3.310351
0.973568	6.612961
0.330660	17.988585
0.879724	5.465249
0.098884	5.178786
0.369440	21.938766
0.153450	4.836195
1.293754	31.674907
0.191123	22.795528
0.416364	24.171080
0.218270	16.130364
