# z_cadidates 	 DM_host_candidates
0.520219	23.822682
0.796004	31.135490
0.383457	286.319107
0.413200	24.063893
0.433712	26.421463
1.274112	6.341610
0.748363	48.469834
0.267694	14.840277
0.178267	24.183505
2.295409	9.298516
0.177247	13.640631
0.599237	9.996235
0.807518	20.489058
0.182793	17.392188
1.055748	40.240179
0.346780	6.309150
1.191074	6.993895
1.507361	36.063707
0.304293	8.252049
0.725929	29.453505
0.129660	1.297918
0.227203	47.110210
0.779535	108.580999
0.100574	27.642136
0.293804	7.251774
0.179134	19.105976
0.862124	42.974094
0.277603	14.979709
0.915660	38.636451
0.061220	21.561937
0.692669	42.315332
0.319610	18.693222
0.680756	4.096785
0.569699	71.132577
0.597409	49.893234
0.812853	12.058391
0.892653	1.511928
0.740391	62.802369
0.157768	6.558804
0.265632	22.770187
0.198285	13.300096
0.624222	13.109243
0.488864	15.089393
0.290359	3.921049
0.538443	3.657193
0.276334	53.968207
0.805734	32.016497
0.258738	16.565635
0.225110	36.136224
0.179710	12.594585
0.238801	15.591941
0.484167	37.490556
0.159791	45.166349
0.239908	34.950391
1.281740	31.738661
0.799231	32.347518
1.115963	59.887889
1.007241	7.880595
0.382448	1.619730
0.236575	10.408512
0.137467	1.546271
0.620467	13.749917
2.179542	4.043157
0.283292	2.651935
0.272706	3.989400
0.577431	16.324991
1.211168	16.097989
0.111504	34.370938
1.509521	57.797636
0.327515	5.300710
0.140291	33.885046
0.894234	1.797831
0.241849	42.919209
0.657239	12.889796
0.142996	3.206037
0.839787	49.086691
0.195373	15.737075
0.554491	5.051990
0.725905	1.036968
0.997230	140.281217
0.438925	3.721702
0.261956	16.690081
0.716688	53.534396
0.812221	27.218419
0.420717	28.824679
0.295660	7.414869
0.146579	10.467398
0.605053	23.084572
0.249494	84.109767
0.260603	27.339807
0.107613	1.165637
0.310161	62.959062
0.194318	23.809438
1.048588	36.606635
