# z_decected 	 DM_host_detected
0.369365	7.853657
0.650802	16.001629
0.271488	51.782241
0.127910	24.603500
0.095525	6.759589
0.345336	25.568878
0.223128	7.418782
0.467971	4.372838
0.097477	19.429004
0.222515	27.193066
0.139674	8.665224
0.060874	18.624677
0.309501	10.487991
0.121635	25.902532
0.089618	12.926609
0.303787	66.923751
0.212728	3.133472
0.084627	11.414283
0.171432	22.890972
0.195048	27.471217
0.431195	13.527591
0.460954	19.320303
0.087417	10.927646
0.222762	2.791745
0.872670	81.768114
0.357649	40.124095
0.407459	12.770077
0.076353	10.524719
0.708931	2.725275
0.118768	9.580630
0.132620	21.020650
0.132464	7.138874
0.103543	35.339813
0.186869	20.961479
0.032656	6.099895
0.188490	11.387701
0.135446	5.697994
0.137438	7.773028
0.207536	39.944235
0.036820	7.523663
0.119597	17.779188
0.069819	17.221275
0.222446	3.091462
0.104742	29.534211
0.072313	17.656497
0.317643	4.473604
0.318844	58.735502
0.284899	3.606182
0.352901	15.272772
0.070794	7.833354
0.439944	12.798168
0.504631	1.114150
0.313979	15.315548
0.372937	4.413416
0.594500	2.143564
0.286222	42.680149
0.280639	74.020313
0.613351	47.857123
0.147189	12.799605
0.730008	37.709265
0.117158	19.825629
0.154944	8.030134
0.122353	21.266055
0.465564	16.015171
0.291029	42.457682
0.671682	4.833137
0.467018	27.556102
0.096654	4.358240
0.193975	4.173542
0.507669	13.841808
0.691831	8.393143
0.458972	16.766019
0.166030	20.142486
0.118442	18.378689
0.161876	8.281719
0.078226	1.332196
0.146090	9.903804
0.271833	10.876404
0.073933	11.777770
0.211562	1.603025
0.113382	5.361593
0.165812	7.910841
0.391463	24.957539
0.364572	24.150624
0.399401	5.110116
0.239024	8.694175
0.252607	7.830260
0.145020	6.168492
0.044542	6.471303
0.228426	5.061068
0.392314	13.793559
0.191921	10.886592
0.087196	18.266841
0.244624	21.977796
0.520883	4.097897
0.104714	7.851602
0.131825	3.996348
0.138987	15.909813
0.496666	15.691800
0.228593	4.509774
0.963383	14.100975
0.053593	8.806099
0.175796	20.855159
0.528930	26.256835
0.061036	18.701368
0.131527	14.055182
0.156367	9.147902
0.179427	2.915614
0.236774	9.173836
0.070133	21.057790
0.241688	10.685829
0.142285	2.778636
0.246525	3.161652
0.220202	2.583248
0.070286	16.177880
0.127394	26.317279
0.108900	8.337893
0.206281	10.620216
0.474609	26.856181
0.063251	1.871525
0.151958	0.707274
0.325142	73.018659
0.798395	11.520225
0.191466	20.179534
0.233515	21.598433
0.332604	42.081571
0.494426	64.830648
0.063522	5.283343
0.183309	10.725650
0.231221	2.930775
0.050743	49.749403
0.136078	9.904794
0.294086	9.357321
0.052969	14.244540
0.528268	22.859723
0.217701	14.819231
0.090636	13.146142
0.394177	17.390465
0.386583	15.426891
0.431790	41.602696
0.074145	12.770410
0.119380	9.267232
0.156661	2.182657
0.269106	23.751857
0.179101	17.195968
0.129076	5.760914
0.229655	8.616203
0.169800	1.541875
0.196518	5.727560
0.057444	6.642796
0.344135	3.468356
0.301837	7.327272
0.049939	2.567323
0.101980	11.027490
0.503082	22.948621
0.212245	23.968218
0.090204	10.485355
0.233592	3.430530
0.134884	6.432253
0.768991	32.754941
0.325126	12.576071
0.194392	11.097739
0.480914	18.982760
0.349686	30.280581
0.277144	31.493743
0.125402	12.184469
0.388276	51.888220
0.649993	6.148968
0.119104	7.569106
0.429840	5.000543
0.226843	28.276904
0.977210	22.817160
0.159892	14.143665
0.145049	24.718286
0.139567	15.854068
0.407925	21.371413
0.102162	20.917015
0.300037	47.714775
0.504291	14.210051
0.076809	43.470730
0.164235	5.597978
0.338331	24.681308
0.420243	6.535659
0.303843	16.912250
0.095735	2.906306
0.681234	5.456529
0.097833	2.650257
0.427571	9.469252
0.070559	13.832178
0.097355	8.374358
0.437043	4.805564
0.324459	23.468212
0.193502	50.420253
0.121507	3.565552
0.277818	22.689149
0.116408	9.097403
0.229341	6.850145
0.040154	10.638405
0.303467	22.569379
0.153862	7.400297
0.434368	11.283882
0.191425	21.106143
0.225152	0.700015
0.064163	15.753507
0.185411	15.568971
0.535214	22.485884
0.106713	20.108939
0.265647	21.167364
0.096802	12.796231
0.643498	33.478613
0.608566	23.870764
0.440073	11.301685
0.440874	18.731258
0.170969	30.891995
0.320943	34.795012
0.100281	21.965706
0.375660	10.764815
0.315286	26.677640
0.332402	20.789190
0.199469	134.611132
0.134248	5.954711
0.193553	2.879903
0.122077	12.442643
0.153725	13.745460
0.466805	14.897095
0.595610	1.830780
0.395488	9.377668
