# z_decected 	 DM_host_detected
0.520407	29.014727
0.178350	25.874671
0.254416	33.805835
0.235870	12.882668
0.562110	25.840000
0.070124	3.181330
0.263349	17.233516
0.408226	11.493352
0.128955	2.674926
0.136079	8.320001
0.129482	3.754398
0.054643	12.643798
0.398431	24.627141
0.275046	29.444676
0.142605	11.103177
0.023279	14.332765
0.173146	12.161939
0.033177	23.017277
0.167592	12.039266
0.279910	11.559669
0.138112	5.836053
0.227319	22.103931
0.107641	24.317572
0.138966	9.719268
0.323224	15.783032
0.017362	17.699198
0.007535	4.417033
0.310522	47.886407
0.059929	13.396813
0.165596	22.196422
0.210105	12.384583
0.146036	9.663190
0.280622	12.645015
0.142915	13.479214
0.714411	29.861718
0.058071	17.112416
0.183155	9.995149
0.117619	5.207341
0.025100	3.910863
0.185022	24.348859
0.849813	29.702691
0.312430	16.692853
0.309611	5.213571
0.051515	38.611967
0.314684	18.858898
0.491452	30.560976
0.415336	7.166993
0.250071	20.947331
0.029966	6.584030
0.389570	31.043037
0.132268	1.485606
0.427009	6.110899
0.770427	66.195950
0.036010	10.365115
0.274532	17.373313
0.090298	8.372248
0.087243	4.575073
0.302172	20.182285
0.155571	40.595282
0.545793	80.309403
0.111038	10.617056
0.330864	34.276919
0.281564	15.055755
0.456928	11.226196
0.291764	14.631943
0.094786	18.990202
0.089086	2.670952
0.221843	4.933165
0.148814	11.985291
0.519122	23.001946
0.076070	4.784521
0.380161	12.353821
0.099700	19.036208
0.192282	20.809312
0.332227	10.101804
0.084203	3.336377
0.209985	18.147410
0.805532	24.853403
0.909776	19.601107
0.139984	18.042811
0.373656	29.802896
0.403835	27.939070
0.192296	3.752590
0.975817	55.732149
0.251600	8.368506
0.319389	5.834248
0.135090	9.579726
0.050355	5.569464
0.279314	74.395065
0.216740	10.799050
0.505637	9.207747
0.251067	49.320671
0.147774	29.810650
0.436042	61.261652
0.051293	1.361356
0.082885	4.364647
0.094402	31.544176
0.368260	3.731145
0.294915	81.911069
0.300371	7.434620
0.420558	11.765682
0.131960	42.655684
0.023724	3.556531
0.644665	31.356942
0.207405	17.867319
0.253269	15.889876
0.294344	27.672243
0.320689	12.722412
0.528838	19.266941
0.060850	3.074173
0.388834	14.899872
0.045059	2.661885
0.277342	11.223286
1.342493	42.291098
0.329756	62.325279
0.168225	1.541691
0.378531	6.667901
0.090454	16.368484
0.287151	7.845566
0.356903	6.240860
0.512222	23.613052
0.046733	15.084257
0.412440	2.213404
0.419859	15.187324
0.454117	5.242845
0.385777	10.376514
0.460245	22.439774
0.535232	26.680777
0.421103	153.926732
0.196832	19.695266
0.043285	10.801087
0.072812	41.460255
0.101477	26.813714
0.268629	28.174343
0.205987	2.953769
0.264217	25.276839
0.144279	8.440078
0.292537	13.871853
0.428716	58.308724
0.297195	13.888952
0.346463	42.735910
0.158417	8.640672
0.130697	1.295462
0.371341	9.347997
0.146646	14.378292
0.416453	18.125054
0.345612	17.727886
0.073022	11.489864
0.254501	49.370275
0.179683	9.099049
0.160870	9.170238
0.309485	31.788760
0.254857	14.706414
0.297425	47.364285
0.207156	12.610677
0.115292	6.906372
0.218678	47.719850
0.040028	12.828441
0.077379	43.400447
0.025081	1.574135
0.144533	8.445712
0.085603	26.636714
0.589394	16.516068
0.094146	0.845499
0.465497	2.908466
1.370536	15.162397
0.399190	52.034215
0.360221	15.935160
0.312970	1.840831
0.415563	4.350061
0.164363	6.233860
0.088174	2.727375
0.107808	13.965025
0.229644	34.145142
0.475797	30.988474
0.157389	11.613182
0.185202	5.191995
0.462782	14.704588
0.445488	11.808196
0.182361	10.976297
0.799415	15.574714
0.089173	17.154780
0.227572	5.970421
0.707900	53.705727
0.115570	0.858225
0.112925	12.944388
0.152288	16.415819
0.121250	17.285058
0.135129	27.230976
0.240358	23.973485
0.057306	9.071291
0.126852	17.922299
0.509302	35.133430
0.516269	6.079773
0.969724	9.462189
0.376774	14.091008
0.093154	6.298240
0.067617	3.806702
0.137030	1.624798
0.386923	15.328665
0.232279	10.877889
0.660712	7.022341
0.248909	8.836360
0.378759	17.226062
0.564484	17.043773
0.319706	11.343781
0.049232	5.341882
0.039037	11.296279
0.231878	13.959432
0.258899	2.035771
0.114049	9.479356
0.064362	7.181225
0.228467	20.432065
0.486859	9.001997
0.190373	15.761573
0.279541	24.366427
0.105853	26.527152
0.590963	19.096292
0.304537	21.171942
0.108544	7.887240
0.502692	5.910920
0.492265	23.199606
0.520570	8.387997
0.322390	14.099463
0.295710	42.879720
0.109155	3.767564
0.050801	10.104744
0.109283	16.586403
0.092209	3.656930
0.374821	24.231893
0.161957	15.364831
0.161940	10.580937
0.174310	1.869432
