# z_decected 	 DM_host_detected
0.317517	15.195031
0.243015	23.090269
0.350583	22.675527
0.193900	2.839694
0.473407	20.850359
0.251527	61.364341
0.097032	9.375881
0.286441	64.010778
0.130889	2.258763
0.701519	8.966171
0.148336	11.397121
0.706652	4.040238
0.419257	14.090136
0.119065	4.846763
0.369505	8.121869
0.158552	4.023222
0.182825	7.872723
0.252689	27.535777
0.055909	4.668074
0.064653	20.254695
0.258109	23.316999
0.124808	7.380158
0.286724	15.199686
0.266296	17.691429
0.200700	11.096982
0.173863	18.899860
0.213548	13.649343
0.004317	4.971470
0.061493	22.401539
0.106359	9.448943
0.336057	43.724655
0.147464	1.524424
0.213727	10.832446
0.397808	5.300912
0.129458	5.580124
0.486830	13.870561
0.139180	24.040255
0.235633	40.828202
0.536469	9.459265
0.038495	17.051828
0.183115	0.981871
0.130028	20.192182
0.181967	2.040518
0.069907	10.560506
0.071828	32.987296
0.063759	11.899060
0.071971	13.189640
0.267198	27.574851
0.093510	7.585772
0.109006	14.706387
0.444328	0.652800
0.212170	51.230473
0.196309	30.286778
0.073117	9.269990
0.270891	3.862561
0.211770	7.818022
0.098792	8.838657
0.048981	13.383834
0.309044	25.183804
0.212612	3.984610
0.111588	11.612180
0.110205	25.688386
0.262601	4.193696
0.071891	12.708719
0.041326	18.527953
0.303420	29.057440
0.269206	1.908156
0.106989	18.009556
0.302482	20.374038
0.109277	4.693257
0.109609	14.829297
0.158110	17.511926
0.232401	15.788942
0.235307	22.784163
0.496514	6.356318
0.082362	24.128159
0.595262	13.308677
0.757956	5.314435
0.549160	7.191856
0.433365	9.006038
0.204563	54.246875
0.047946	8.235871
0.192144	3.427093
0.121124	0.890313
0.669693	23.667998
0.149041	14.445853
0.132773	13.800262
0.434238	35.467316
0.233818	2.532016
0.103083	7.991918
0.196463	17.492244
0.141621	10.841170
0.240851	10.478235
0.019024	7.145480
0.158505	5.813677
0.092337	30.936409
1.140876	40.893245
0.061697	14.828062
0.555746	11.138064
0.240542	42.734141
0.115520	7.112434
0.352272	14.293671
0.170216	3.001623
0.103131	25.267141
0.272569	24.409110
0.091951	11.833300
0.463211	84.496806
0.539227	22.107549
0.108537	2.116071
0.308092	13.132621
0.072304	14.834181
0.230009	46.398163
0.044522	7.707215
0.279497	4.849825
0.154625	26.079634
0.067622	28.968326
0.501419	4.020648
0.055320	15.030524
0.430803	12.102350
0.043494	15.892826
0.119562	7.149826
1.018527	41.340373
0.312270	20.384280
0.319568	9.002108
0.135033	12.719986
0.044854	21.627639
0.073820	11.328363
0.973281	31.691219
0.729396	9.077864
0.307601	3.754762
0.072138	1.114980
0.298942	42.682525
0.212020	8.673889
0.124526	5.773989
0.161192	9.969460
0.112287	4.754681
0.656110	11.306490
0.294901	15.213825
0.055462	1.065041
0.079914	3.710905
0.061448	2.309222
0.897569	28.567936
0.969505	27.239829
0.146300	3.837317
0.274854	23.679357
0.465006	37.505157
0.182333	3.339297
0.057552	3.385257
0.545615	2.270114
0.216790	32.480195
0.263602	23.406368
0.205216	11.261631
0.194140	5.380182
0.082704	7.557978
0.238520	29.406435
0.218568	2.295443
0.356533	11.520199
0.090854	3.600273
0.261465	12.482739
1.224815	40.976411
0.454879	4.814604
0.455542	16.828815
0.394752	3.692017
0.169438	8.952233
0.296392	79.419579
0.181006	9.535482
0.199290	23.495091
0.944671	43.826156
0.540789	19.028328
0.345589	56.789668
0.196803	1.087139
0.153404	22.694102
0.895275	25.704023
0.087111	20.926216
0.108033	11.637018
0.124765	2.415381
0.154254	47.938897
0.169336	14.923204
0.097109	20.080210
0.066596	8.879785
0.021373	0.692931
0.214497	19.371299
0.559339	19.799848
0.307018	1.345791
0.316423	6.940971
0.238686	17.332269
0.039729	1.967097
0.794726	32.293554
0.639663	23.020092
0.123611	16.207787
0.690556	43.351648
0.289559	8.218303
0.033892	8.400711
0.082254	1.339913
0.082946	8.562914
0.121825	2.339989
0.136955	8.310705
0.955793	5.330302
0.287566	6.411097
0.487068	30.744788
0.087314	2.370648
0.126494	83.908693
0.485689	32.093155
0.167427	9.965712
0.212495	24.712674
0.418000	9.361924
0.125425	13.770421
0.146820	0.737169
0.142175	2.238008
0.328291	7.467782
0.688888	21.641772
