# z_decected 	 DM_host_detected
0.071786	19.414600
0.291005	12.326236
0.156971	3.267143
0.167605	13.160966
0.243881	12.636033
0.364467	33.644193
0.536995	81.176566
0.183327	31.922983
0.289982	28.237121
0.214288	11.745367
0.411653	3.321298
0.315191	17.332553
0.660185	18.882540
0.115477	9.212977
0.416401	11.711782
0.375114	12.517132
0.083457	35.550568
0.465972	36.444874
0.282418	16.916164
0.408194	7.406173
0.141072	14.369296
0.271004	9.382704
0.070424	140.176579
0.266509	8.253855
0.266824	35.171061
0.272150	17.981984
0.098089	2.064335
0.274625	25.368457
0.893416	3.850671
0.186906	3.656299
0.029712	21.578040
1.075772	28.309031
0.101948	18.591488
0.099333	9.395986
0.200805	2.908101
0.223642	4.363141
0.059718	11.073287
0.168205	15.275666
0.158654	4.504495
0.249052	4.642124
0.569671	38.731700
0.094739	23.135551
0.053024	3.034111
0.574639	42.627156
0.404132	19.898399
0.278518	60.218017
0.161430	1.188170
0.508808	2.025728
0.038043	6.913951
0.187850	9.177321
0.544555	17.378061
0.164861	16.324177
0.075782	10.050178
0.179818	5.151058
0.102548	9.221601
