# z	DM_HG
1.420314	132.706686
1.523871	135.908935
1.868748	46.470048
1.909507	54.377598
1.746868	12.326776
0.457528	8.031101
1.966398	68.434554
1.538732	69.053998
1.523383	12.688850
0.302113	8.229114
1.204642	8.038744
1.423579	13.971795
0.891978	27.406871
0.507817	12.713991
1.283810	24.277398
1.154866	11.064245
0.389903	14.078229
1.264415	10.248800
0.568082	102.245681
1.121944	15.107455
0.878517	23.769850
1.952066	50.247701
0.354411	11.278790
1.324811	45.901366
0.663606	21.092120
0.958338	4.418116
0.725966	29.001595
1.992084	109.323915
0.344624	68.244953
1.297066	9.744859
1.396140	74.603150
1.642187	56.604983
1.422811	10.696768
0.811876	20.038640
1.381277	20.938350
1.959329	40.318961
1.759225	66.872351
1.165728	9.018897
1.201657	1.780666
0.624142	14.488158
1.339520	31.054128
0.894847	58.719093
0.569007	23.137092
1.196861	32.022991
0.393425	23.638455
0.596327	45.435960
0.790204	48.885593
1.984738	21.842937
1.697616	66.205435
1.297664	3.284709
0.814003	8.037051
1.263673	6.223842
1.457070	22.567024
0.165129	2.097170
1.980282	41.828298
1.423997	68.905294
1.980855	20.174453
1.189143	36.792020
1.419129	11.439548
1.177715	6.232527
0.215757	19.140352
1.761457	35.714224
1.158951	67.952143
1.191950	33.830746
1.022597	61.165943
1.134241	4.445020
1.571676	11.854198
1.534223	48.517847
1.697459	11.859767
1.958845	37.744327
1.070928	6.642611
0.989613	11.389149
1.225780	20.081850
0.668586	44.972319
1.620731	55.421737
1.356174	23.573492
0.776437	8.553940
1.783433	20.467759
1.412519	16.157129
0.351584	10.939722
0.749468	79.505926
1.825739	86.772880
1.055330	19.899743
1.974530	26.098021
1.279803	13.921998
0.770262	16.664316
1.375121	32.706011
0.555441	23.974849
1.696134	139.620442
1.425573	34.388436
1.941548	46.137272
1.518465	11.838556
0.407519	10.475232
1.200188	150.303559
1.282122	27.931536
1.866234	50.013620
1.133954	13.853753
1.374555	26.014418
0.729832	30.884957
0.834873	25.145745
1.307816	6.204793
1.528766	61.212246
1.138488	10.691825
1.134259	36.009845
0.854268	38.199237
1.530484	29.050905
0.176360	1.436386
1.254506	66.244948
0.151074	6.908051
1.374487	25.203553
0.338424	13.027205
1.903263	21.757093
1.202475	10.586472
1.509358	38.611739
1.767208	5.347549
0.818975	54.464924
1.295129	133.660857
1.782521	62.336224
1.291738	44.882962
1.073399	26.628581
1.036467	13.905393
1.060059	83.254031
1.407121	45.974613
0.395502	5.427345
1.107996	33.530208
1.325652	7.225220
1.663825	7.475814
1.280163	39.810842
1.881137	29.214910
1.151058	33.759771
1.459748	11.401273
0.272032	13.889492
0.824222	19.338328
1.708321	49.562121
1.363714	18.682142
1.913021	26.357551
1.612927	15.772421
1.159949	48.098352
1.652140	15.231594
1.187222	45.361948
0.975683	16.279941
0.400499	26.820461
1.785907	15.099448
1.113415	65.523428
1.511074	85.253482
0.665908	14.467650
1.729101	16.166536
1.721766	22.066062
1.208758	32.994236
1.491602	43.810617
1.267448	17.751174
1.313284	50.691068
1.822142	34.080826
1.946331	32.700804
1.034336	9.958072
0.978168	9.154322
0.933400	41.324675
1.640046	8.653629
1.567682	11.236223
0.388900	19.384720
0.521229	39.060691
1.452910	9.526655
0.886088	22.013701
0.529151	2.010427
1.105376	9.960966
1.804414	37.117134
1.032489	139.930867
1.526736	22.981565
1.840649	49.912155
0.698064	3.363552
1.398605	46.498827
1.851820	15.396272
0.743736	3.399542
1.981613	81.258162
1.030578	43.463294
0.787503	9.870936
1.742771	69.778678
1.187406	29.681752
1.489411	11.083825
1.219922	58.339784
1.448922	33.713347
0.356973	11.678213
1.007283	35.386683
1.469464	17.840545
1.008225	65.826348
1.647641	15.754127
1.936620	10.541597
0.365046	29.429849
1.769878	62.542546
0.697580	9.258267
1.867123	57.726601
1.914013	22.756960
1.338413	4.787294
1.204061	50.369513
1.621444	12.531970
1.868207	8.585554
0.813795	14.251361
1.057486	11.702255
1.111276	26.006096
1.755150	9.806913
0.632641	21.454169
1.418440	59.092814
1.008477	15.325827
1.816986	5.108797
0.990926	43.879751
1.964149	56.390498
0.260157	6.996789
0.826134	41.048313
1.171486	94.833395
0.854827	41.270464
1.589527	36.753731
1.706930	5.140362
1.529550	62.110032
1.951949	35.651740
1.169555	4.980192
1.967102	231.533614
0.606211	39.307968
1.755341	13.350630
0.369028	25.885437
1.283024	28.280706
1.212238	36.126977
1.771403	19.363348
1.534384	15.055375
1.146954	7.344483
1.832933	15.360653
1.817543	16.103886
0.310180	17.782869
1.794318	77.185498
1.275089	33.497508
1.744535	89.941443
0.721096	27.173419
0.661936	11.602756
1.566637	8.359862
0.886751	13.723167
1.323054	13.258333
1.516530	67.283328
1.399654	84.419821
1.531735	17.080475
1.414444	9.881344
1.052367	16.032257
0.526425	22.754133
1.769920	23.296759
1.755439	30.576515
0.178747	11.903300
1.747480	45.624040
0.661720	43.779457
0.979960	62.819286
1.104895	2.522887
1.502789	48.990698
0.531237	11.011282
1.725531	23.504596
1.907545	6.848774
1.923469	18.426745
0.529795	29.208608
1.870360	14.935483
1.336406	10.013286
1.573751	23.593972
1.888171	37.615804
1.474958	72.383375
1.170611	47.971198
1.272895	24.947609
1.510077	19.256412
1.910663	17.794337
1.823722	10.410086
1.350128	11.294347
0.775843	7.874736
1.001861	45.244129
1.025473	6.102690
0.909552	10.159725
1.603653	79.822401
1.739941	40.326004
0.959198	11.407846
1.755622	55.582416
1.585068	44.328778
1.147044	32.468868
1.531282	13.768998
1.637888	32.608166
1.326308	22.756162
1.150062	16.000291
0.553923	12.803963
0.107597	5.948214
1.898771	35.751481
0.873622	10.883616
1.477925	29.116081
1.908525	17.218667
1.712675	17.286057
0.601754	11.776449
1.687553	78.582689
1.572944	9.676295
0.974457	17.636563
1.517707	24.956723
1.724363	51.359539
0.913235	25.162027
1.791215	18.149958
0.496096	16.103694
1.276383	9.602817
0.815143	34.237527
1.575381	30.020311
0.708784	12.216804
0.993551	50.485573
0.612261	39.717290
1.702882	21.016132
0.622789	11.173147
1.568064	103.077848
1.544133	127.020685
0.644040	10.275758
1.333766	52.690573
1.230793	15.588428
1.376027	7.764015
1.898733	26.252015
0.500694	8.915205
1.716077	14.349604
1.780433	166.145399
0.609844	33.511184
1.467666	74.110971
1.536470	104.374984
1.307934	101.046936
1.239829	22.779468
0.955974	40.165426
1.516928	22.396658
0.903594	10.721894
1.175553	58.855418
1.773064	36.888517
0.524017	32.977057
1.277746	56.746177
1.214636	16.263575
1.051367	20.236991
1.380521	104.242917
0.260122	4.504204
1.224203	24.260428
1.214062	40.668809
1.259490	29.403627
0.778412	13.374047
0.769686	18.084667
1.454396	66.637260
0.532015	12.113469
0.936822	17.260049
1.731959	9.534945
0.558797	21.341137
1.187641	3.763894
1.486354	16.476340
0.642536	19.550246
0.947374	15.449149
1.322928	107.265095
0.971005	3.275492
0.573233	22.648202
0.813725	7.600375
0.572025	15.690320
1.973239	21.464824
0.819369	15.207753
1.280996	9.185924
1.127972	65.764098
1.338909	81.307051
1.232603	21.859884
1.574102	19.463922
1.797432	62.276264
0.903187	15.257386
0.725411	61.854378
1.974511	99.727020
1.786606	16.861614
1.028763	57.264946
1.831542	25.150410
1.489214	57.722520
1.141455	37.627964
1.798069	19.218112
1.496290	95.924413
1.725232	9.333037
1.111616	29.041342
1.682662	9.229779
1.033446	6.340097
1.586036	7.349384
1.138594	49.944274
1.092444	15.021034
1.679477	25.900236
0.607143	23.054594
1.884373	37.600121
1.248410	62.679807
1.437825	25.202893
1.092546	11.380485
1.452418	12.187445
1.548069	61.657639
1.790354	67.311258
1.768419	25.156538
1.019240	34.844426
1.407748	27.856631
1.654981	26.894030
1.631094	29.282579
1.825485	41.084104
1.733699	8.510409
1.560097	41.941665
1.606843	28.163367
1.696025	17.931265
1.742878	22.790061
1.011186	63.704945
1.656860	36.657895
1.917881	15.179211
0.814697	55.234900
0.404410	10.646356
0.478535	60.581712
0.786064	25.970859
1.871010	30.441758
0.610980	16.419209
1.604949	62.074348
1.788120	41.003299
1.804474	47.455593
1.110076	32.158934
1.228376	24.777931
0.964661	28.532272
0.654295	35.154444
0.777929	53.821408
0.628134	8.433442
1.096002	4.404618
0.700067	51.279750
1.089699	55.202076
1.763470	41.824619
1.465295	86.790399
1.477579	69.196848
1.702808	30.208156
0.379403	46.499396
1.676234	112.045461
0.749159	8.254982
1.000599	13.751580
0.940250	45.913442
0.563259	6.489531
0.706562	30.143821
1.929328	12.584194
1.384595	35.768029
1.196505	40.210091
1.620375	23.511012
1.705683	82.375624
0.573983	5.218955
1.594829	39.610033
1.891035	30.632433
1.362557	28.479274
1.405227	24.352314
1.793364	25.287452
1.502567	34.291358
1.992281	32.616382
0.898894	18.087862
1.754622	101.094825
1.402629	50.002111
1.031593	3.247600
1.813141	60.116497
1.993876	39.301928
0.435717	9.561209
1.880105	43.348354
0.761546	37.559505
0.765323	6.963608
0.381478	27.711580
1.874811	46.477162
1.622805	33.629133
0.421742	18.254839
1.434046	5.896414
0.596333	53.054690
1.610700	28.818721
1.098341	31.256597
0.416281	37.024976
1.729787	53.824582
1.343216	20.055192
1.643252	44.835562
1.495167	12.115503
1.136876	30.882469
1.531287	32.729125
0.254527	10.655748
0.990842	28.641990
1.650834	13.631972
1.628361	9.106018
1.819958	56.971137
1.400602	27.998247
1.906664	4.263952
1.321377	9.156995
1.236132	25.007998
0.750757	49.051469
1.652331	24.645259
1.521384	5.493567
1.176662	71.777963
0.517829	35.362634
0.608597	38.312213
0.583588	1.462660
1.046906	35.598883
0.677759	104.900266
1.778464	61.552191
1.838714	23.996956
1.772132	91.780661
1.397347	24.688680
1.378776	49.474925
1.825473	23.867723
1.094146	28.627012
0.449457	16.835865
1.191135	24.778893
1.315431	30.988136
1.309102	63.149629
0.677811	83.676302
1.659301	52.893770
1.581343	17.843496
0.809264	14.653156
1.311743	30.644419
1.669847	21.353080
0.199645	11.743241
0.886414	22.797137
1.193603	24.035557
1.753927	11.685048
1.683047	32.361852
0.661727	2.757592
1.179642	17.348171
0.934743	52.206091
1.086688	54.444960
1.295978	47.599241
1.234469	5.850541
0.642391	18.831595
0.599778	93.416919
0.618489	3.286785
1.748134	210.613320
0.285418	10.143678
0.760259	30.440151
1.928597	53.542966
0.460340	17.557703
0.360768	25.308082
1.065024	6.456415
0.662149	21.845769
1.333339	10.107303
0.989014	52.963752
0.772166	19.321994
1.997718	40.739060
0.992999	15.083890
1.445168	40.802849
1.799149	25.584100
1.875128	28.320332
1.099981	14.384975
1.961253	51.994613
1.570192	38.346081
1.359349	20.982694
1.523214	52.737947
1.022868	15.456729
1.121723	13.941343
1.363795	31.987340
0.970378	10.791335
1.637088	28.589217
0.845927	16.661099
1.679741	64.290786
0.664086	22.195534
0.787263	19.415028
1.613256	29.014788
0.866334	18.365268
1.677584	44.977554
1.659997	4.218299
0.856481	3.923577
0.480442	14.260077
0.692312	23.342339
1.612398	35.903207
1.756967	55.001783
1.058434	33.396068
0.688115	24.415042
0.487033	44.107961
0.784454	5.499101
1.966965	40.097875
0.699926	10.515195
0.515411	22.143199
1.662441	12.499209
1.407092	3.664177
1.287346	25.908832
1.157217	58.994700
1.536047	94.115539
1.530820	6.087389
1.121754	14.710609
0.816899	11.083691
1.748095	62.314354
0.688907	21.509545
1.286134	286.279080
1.522308	98.410458
1.441997	29.796740
1.412121	82.537167
1.477212	27.132650
1.801557	8.731015
1.031059	42.160597
1.424973	19.458207
1.528739	7.829814
1.369821	20.964508
1.844474	10.682053
1.465687	38.529737
1.121759	39.827838
1.754787	18.901953
1.219864	97.558755
1.280415	4.229747
1.357869	34.099242
0.963920	34.955836
1.567143	40.664436
0.545283	113.537374
1.790934	21.527704
1.615442	18.162430
1.012695	42.622040
0.803194	2.449565
1.065900	15.332058
1.692361	7.253363
0.341273	4.393721
1.187428	50.797110
0.851071	16.608293
1.800458	78.604432
1.105647	17.431442
1.530135	140.009034
1.019361	9.308858
0.974938	26.562854
0.968847	5.654333
1.500612	40.326729
1.942021	39.566771
0.770677	38.569771
1.449479	16.038706
0.870186	14.590404
1.308950	7.960338
1.297427	8.345647
1.160526	25.059562
1.233429	53.557872
1.808713	25.444199
0.521645	27.390844
1.731138	83.899869
1.178997	14.156584
0.981120	202.406426
0.713149	23.469579
1.707321	15.602668
1.372369	5.456791
1.575931	11.054000
0.951394	24.863361
1.073687	61.046295
1.861277	21.306384
1.937099	109.433828
1.593223	46.527051
1.607706	32.391116
1.524893	85.230759
1.365192	85.385131
1.376879	49.939346
1.941316	18.717685
1.609953	16.517625
1.466526	43.814381
0.735660	17.341555
1.962738	48.484315
1.265719	31.862278
1.909088	19.146534
1.553636	46.006186
0.375254	6.163617
1.293555	4.454642
1.828234	34.576496
0.416293	83.826277
1.787627	63.695881
1.404089	15.287016
0.391497	14.382142
1.043806	42.561882
0.335230	10.055906
0.116490	15.768285
1.834118	28.462852
1.606424	23.297158
0.910041	34.171304
0.581882	13.698632
0.424914	6.872063
1.866941	81.371199
1.422177	72.793401
0.680897	25.298733
1.505527	58.337853
1.998189	13.098999
1.666336	6.422746
1.155225	15.685712
1.706354	39.855617
1.599967	43.654854
0.521769	3.451514
1.880381	69.547954
1.814776	153.765122
1.370167	20.787401
1.247617	21.369650
0.805563	24.084938
1.737579	25.139047
1.133074	81.357411
1.353454	32.031686
0.699566	33.601883
0.780890	77.944136
1.975909	12.327221
1.226490	29.169243
1.708760	99.779412
1.730285	40.845155
1.969922	28.921292
1.972182	60.943037
1.170936	13.429378
1.919661	42.226441
1.031155	56.248855
1.395540	13.327165
1.717936	19.322904
1.861503	44.975827
1.271000	95.683194
1.111768	19.537750
1.576145	28.979978
1.169389	28.314512
1.491089	29.348714
1.691084	12.715350
1.747885	48.310845
0.851417	8.524739
1.341797	33.202429
0.311647	32.566589
1.681195	17.268132
0.607271	55.645097
1.795357	39.688764
1.094913	22.113200
0.694084	130.276149
1.678227	13.281265
0.756389	10.232345
1.075923	11.323574
1.334991	6.939140
1.022700	35.684095
0.716739	28.177504
1.093819	32.060395
0.647922	83.862120
1.562052	71.111277
0.702310	42.239144
1.209110	87.798465
1.325338	5.227164
1.911252	14.025053
0.494602	125.219326
1.887946	12.567937
0.770825	148.708835
1.747589	82.196078
0.526427	23.650519
1.981596	19.043175
1.696315	73.267073
0.451274	31.575816
0.781406	33.226733
1.307754	25.746526
1.270603	52.751681
1.427699	195.318324
1.180791	16.035487
1.584656	62.216350
1.004621	23.006559
0.711698	16.710199
0.350518	26.121857
0.967082	12.581055
1.125479	50.540920
1.472084	15.575397
1.694512	41.399033
0.827014	48.369799
1.225298	15.340178
0.816039	2.877308
1.921015	12.084592
1.454909	40.602507
1.500205	53.047685
1.281994	14.303060
0.897468	18.268798
0.756652	30.194106
1.468471	51.008521
1.874049	17.191089
0.779225	45.447405
1.342252	28.876750
1.279167	38.635123
1.446131	42.985835
1.366054	24.874388
0.882488	51.186886
1.520462	6.811159
0.882264	27.447543
1.463026	4.798587
0.927115	5.733821
0.505675	21.974759
0.611908	31.564712
1.737021	9.641695
0.599042	35.872460
0.976230	15.230348
0.907038	22.811126
0.435749	7.642823
1.383476	52.399486
1.682769	70.632124
1.987496	83.077704
1.896827	39.448210
0.408113	71.141549
0.856832	29.758820
1.103019	49.206406
1.800557	79.426745
1.022785	56.496466
1.340095	72.450779
1.472866	71.842481
0.923904	28.278711
1.357366	34.939415
0.413333	10.690246
1.205816	45.625611
1.051451	1.700071
1.016018	98.439969
0.818055	46.949409
1.711819	38.614119
1.811361	27.942802
1.821086	13.672451
1.078521	8.103892
0.859626	20.171615
0.545977	2.882210
1.491995	216.684078
0.975682	33.082820
0.888923	27.310418
1.040455	6.139979
1.316937	50.250629
0.683599	17.044090
1.937348	26.922995
1.582318	54.650518
0.399425	10.971542
0.938223	24.392633
0.411291	7.096023
0.808627	24.704605
0.905311	11.236140
1.560283	30.336929
1.561427	15.186696
0.394321	7.347251
1.366555	34.866786
1.936662	7.475673
1.426354	18.020079
1.936077	87.351325
1.054579	17.132737
1.175184	23.553559
1.228712	61.242388
1.877603	82.855624
1.054149	36.563072
1.973016	37.242233
1.299698	40.836922
0.788562	23.622416
0.558618	30.074957
0.704950	50.407525
0.372240	22.775066
1.521763	19.794616
1.260670	60.551659
1.590328	17.495747
1.657547	72.340261
1.889390	41.384801
0.589320	3.159938
0.730108	35.201613
1.307351	40.525734
0.616886	67.763502
0.532000	61.605907
1.482930	57.754275
1.570412	9.559490
1.751402	24.521452
1.864604	19.180588
1.149134	19.832425
1.967271	5.583012
0.366892	40.329555
1.792928	54.909425
0.961829	22.631596
1.874061	87.510086
0.796514	23.304379
1.594962	24.552679
1.123320	5.229952
1.055978	46.737209
0.440574	15.354294
1.542154	50.028488
0.709717	20.710018
1.180019	24.066845
0.641836	28.167136
1.390843	46.153730
0.811377	72.041539
1.375866	25.586297
1.913730	41.561130
1.872798	50.634271
0.756715	6.902500
0.547848	17.594865
0.384787	20.186442
1.728396	47.253614
0.842891	11.231557
0.900944	10.134498
0.802934	4.248285
1.746271	428.540066
1.965697	33.197553
1.616425	8.110446
