# z	DM_HG
1.861199	90.532733
5.420841	41.227772
3.600639	37.953518
2.841747	43.754721
1.054592	13.101238
1.054501	21.100907
0.642610	16.610744
4.599818	4.427274
2.854220	21.886351
3.450570	15.450236
0.411084	34.688286
5.636085	22.650293
4.319180	20.507846
1.262224	13.270306
1.150669	39.064078
1.156487	24.329676
1.596665	23.608814
2.487205	31.233419
2.088498	36.394434
1.548861	38.320453
2.909316	65.460777
0.991666	21.547184
1.552216	46.860623
1.829749	715.135454
2.187990	7.610812
3.961500	31.633153
1.216101	31.494490
2.439667	95.544892
2.810259	4.031439
0.580956	10.626212
2.887098	10.134998
1.108860	47.572683
0.677160	5.249040
5.400966	27.409111
5.587041	19.070791
4.132434	6.342768
1.598034	11.318244
0.823873	49.101215
3.307687	26.857944
2.122055	32.166713
0.923452	74.685027
2.355210	30.726074
0.509493	31.985192
4.995353	91.211501
1.430612	54.435295
3.182895	26.335001
1.624232	2.873894
2.465940	23.922573
2.588606	97.597819
1.161821	7.126946
5.632335	4.439417
3.890228	38.995420
5.300592	13.279534
4.857478	22.355242
2.837906	34.312146
5.119225	9.924369
0.784524	2.530188
1.202619	18.978913
0.574116	18.790820
1.674782	144.677464
1.916071	58.190375
1.476288	25.496214
4.289719	44.416773
1.793054	60.604243
1.511220	24.756795
2.569834	48.305696
0.997169	32.985681
4.085924	12.743100
0.722087	35.145477
5.837182	9.604155
3.870016	8.956129
1.212604	85.952981
0.245944	31.105806
4.186227	54.521711
3.443130	12.064880
3.581515	36.556202
3.863224	40.243615
0.719749	15.375546
1.799574	33.703721
0.898794	28.884103
4.573284	31.979467
2.969100	22.337449
1.695562	3.612049
0.669881	19.168985
1.621538	28.668109
1.674234	45.938715
3.585341	13.587155
3.045178	10.169154
4.787131	6.196275
2.256086	12.466959
0.913722	19.985909
3.482429	104.116630
3.791023	55.693861
2.657636	8.297449
3.861114	41.813051
2.349168	8.666656
2.478010	40.245504
2.070610	40.154935
0.448433	11.065063
0.866388	22.035717
0.490289	21.699902
3.038991	26.124264
1.634020	84.039286
2.414350	120.318157
4.978381	44.881052
1.396202	12.506966
2.001672	24.772182
3.755573	77.736461
1.321945	10.568694
0.733237	27.881544
1.543449	36.937481
1.074146	24.349972
5.198623	54.613109
4.130343	30.547880
3.022829	28.003157
4.645933	10.462185
4.096930	25.390794
1.168127	27.800131
4.836375	28.569711
2.554230	12.311535
4.125212	11.909952
4.869291	14.954669
1.647540	51.867052
0.875227	9.779465
1.318818	71.094237
2.068854	25.255953
4.205885	24.555612
4.552932	25.682648
0.268320	23.380743
2.424057	15.247772
2.029768	11.729286
1.297689	43.419582
0.914804	41.268427
1.720727	22.953826
5.336750	25.125423
1.666860	31.431316
2.460170	23.546144
3.419744	39.803152
1.819287	24.104333
5.657751	21.039722
5.550938	4.873275
1.405229	10.678783
2.364291	88.931365
1.584281	203.186665
1.525486	18.518560
0.525119	15.824387
