# z_cadidates 	 DM_IGM_candidates
0.433220	402.762982
0.064496	16.124874
0.522689	246.384592
0.263990	114.166241
0.554092	637.041093
0.128655	39.811546
0.371560	312.462750
0.084850	27.917907
0.302366	474.023250
0.820120	914.952618
0.894678	1411.783313
0.489442	691.440122
0.266659	404.639645
0.557213	561.098944
0.681683	965.196322
0.581148	417.001251
0.909382	956.978984
0.309500	200.794989
0.128953	148.218021
0.682480	673.003132
0.525364	565.306594
0.119104	234.926241
0.261477	69.762620
0.159066	239.255491
0.946110	1092.270051
0.163154	167.619202
0.704273	752.418092
0.677954	850.393789
1.269230	1543.449826
0.380877	299.318985
0.098909	44.325706
0.540703	441.255374
0.208867	267.204990
0.838709	1253.487187
0.660315	479.514022
0.390348	237.567192
0.115876	162.453056
1.111318	884.931446
0.327020	400.749198
0.208294	218.966496
0.577633	545.394624
0.362376	397.343856
1.072714	1179.450098
0.059039	95.941739
1.237925	1575.266106
1.285758	1228.023510
0.085803	152.227084
0.145159	128.096384
0.838099	603.445150
0.133439	90.773398
1.144792	1518.772122
0.117933	140.961239
0.246188	292.693987
0.179979	192.500063
0.318473	9.429127
0.626491	784.403523
0.165439	102.794434
0.866511	638.413665
0.714702	936.263589
0.765056	1005.121696
0.309256	640.702105
0.215148	164.284969
0.308927	414.341769
0.549960	637.629176
0.365336	642.335815
0.146839	88.978176
0.073839	142.247720
0.371219	618.458675
0.111605	245.805615
0.507851	370.939619
1.012105	1114.942395
0.550702	491.624321
0.343674	280.459707
1.104829	1098.983430
0.171480	14.457860
0.391333	235.232274
0.694572	630.669476
0.857837	829.093472
0.345079	530.823959
0.233539	459.067468
0.200989	206.408521
0.138837	198.925040
0.558609	332.429498
0.887970	665.792523
0.216384	230.701749
0.095023	255.598333
0.872878	1010.521380
1.374842	1420.095797
0.554142	475.439020
0.577731	193.480263
0.130109	338.956890
0.147028	226.202020
0.605093	788.377853
0.370602	363.368417
0.197866	391.405072
0.290706	423.045298
0.594954	648.751626
0.154945	16.714263
0.368625	783.524488
0.187930	79.788794
0.058408	98.251319
0.426573	314.493190
0.225284	212.472697
0.369077	428.315073
0.198296	446.345702
0.435088	334.437730
0.314946	393.287186
