# z_cadidates 	 DM_IGM_candidates
0.653603	702.519760
0.150367	214.438061
0.505393	783.089084
0.392027	508.290209
0.464269	347.147889
0.464744	599.547203
0.281057	321.766289
0.598896	313.772912
0.675648	359.752578
0.429763	424.238396
0.339190	643.445444
0.300255	174.966521
0.172242	91.645157
0.142103	148.305872
0.764166	1217.877096
0.075455	114.033503
0.281904	204.586318
0.142686	113.946018
0.236817	183.297395
0.295727	474.438364
0.426618	475.827053
0.689569	768.530252
0.473935	282.917640
0.402689	313.082764
0.611174	236.698102
0.236360	205.536393
0.140814	267.137198
0.269826	324.086455
0.306495	94.890761
0.074910	106.063730
0.196217	60.288023
0.408671	339.300947
0.410622	147.699183
0.303576	243.448187
0.222827	265.939348
0.433621	384.383839
0.366764	351.885540
0.654474	700.287137
0.093768	108.138255
0.682699	736.877632
0.368977	453.412604
0.231396	233.605202
1.009255	1022.888309
0.094896	18.701963
0.561955	548.847911
0.164093	230.246991
0.178671	182.750827
0.282333	135.763687
0.508628	709.989001
0.525102	132.714501
1.436399	778.060731
0.908600	924.268812
0.557419	575.387260
0.057534	134.035664
0.585110	516.240784
0.267899	130.687705
0.521263	508.151581
0.442579	212.002261
0.266022	308.597463
0.353251	243.371890
0.676545	559.255694
0.801959	1177.745961
0.151759	74.850811
1.856905	1761.791273
1.217070	1262.889827
0.281401	401.112663
0.456632	561.534919
0.883003	1449.216234
0.329567	99.665678
0.659642	559.825493
0.255494	369.256451
0.245360	341.251142
0.735438	837.015387
0.258896	384.300334
0.213795	285.821323
1.204725	1232.675959
0.562013	811.933161
0.431307	480.032659
0.509896	285.726552
0.317676	42.608106
0.426208	672.429909
0.186749	187.180769
0.361571	265.157522
0.257767	157.872297
0.768463	729.045080
0.327728	305.283965
0.518660	256.028530
0.545574	462.351891
0.467004	619.301606
0.367260	205.049647
0.240512	186.117701
0.415470	595.270245
0.462533	471.554985
0.910642	919.998644
0.192214	171.693500
0.208224	268.510442
0.741595	491.768581
0.174185	7.850311
0.901917	1105.867793
0.178435	130.986257
0.410609	434.652698
0.032073	54.226824
0.861971	1192.529516
0.143651	377.926836
0.282853	268.182407
0.298048	329.811665
0.291594	513.172172
0.517619	875.528526
0.178435	273.096780
0.223098	398.287030
0.156925	335.882292
0.328123	138.567892
0.109044	123.547019
0.741957	295.204879
0.192792	244.111178
0.742908	700.407058
0.399179	334.152002
0.561025	674.927607
0.162416	170.731717
0.614015	1015.899936
0.473921	396.414998
0.908599	808.943900
0.721746	636.858186
0.962858	662.044898
0.161492	254.630294
0.783423	872.005509
0.476735	406.207875
0.200478	205.544483
0.741799	487.769191
0.127336	317.101307
0.295142	373.853845
0.691367	1220.727839
0.177889	77.868586
0.248995	422.223802
0.367497	426.322632
0.181732	291.654199
0.449746	446.480029
0.287425	331.745495
0.339714	233.729483
0.211281	303.130709
0.373484	450.172406
0.686524	571.766016
0.352988	199.440448
0.195827	192.055720
0.710087	946.130646
0.388824	363.270138
0.117514	186.400702
0.290690	288.466212
0.259983	284.353688
0.331694	552.494067
0.144027	179.342852
0.239907	253.516176
0.176740	20.843689
0.795935	788.688587
0.390678	736.681314
0.533747	660.354104
0.482553	485.755320
0.805882	1002.124319
0.746021	618.330029
0.143235	215.718785
0.299955	367.931088
0.338988	172.734892
0.190461	99.045129
0.555165	639.764938
0.188224	568.631036
0.297924	271.348617
0.265040	154.396554
0.644369	267.536898
0.380250	424.602778
0.916125	890.196125
0.500382	624.456440
0.123899	41.427781
0.395076	415.220247
0.687518	709.523043
0.202338	194.273770
0.579655	517.800304
0.730099	1035.686945
0.805795	528.980230
0.123922	127.872358
0.407845	455.650602
0.317354	284.026910
0.580666	721.406457
0.257832	114.419414
0.149755	403.783465
0.422223	589.677392
0.631474	512.820068
0.512210	435.452223
0.392607	113.624155
1.032481	369.062609
0.460253	418.345607
0.583411	678.369460
0.549178	577.210352
0.274035	143.584395
0.278163	480.137454
0.541096	913.207990
0.804828	597.629051
0.355822	158.085752
0.776698	657.573652
0.110052	18.449449
0.227237	236.662336
1.090686	1136.142977
0.547065	812.542452
0.409308	455.739323
0.395728	331.970269
0.396737	753.093816
0.585465	462.290124
0.159065	219.140606
0.185690	161.217351
0.482983	614.610191
0.365770	413.581980
0.145595	120.881021
0.146877	313.056324
0.411437	306.057363
0.309884	272.875353
0.225136	193.222459
0.294114	381.039039
0.076272	209.063285
0.467809	435.626293
0.823373	799.544973
0.303844	421.908500
0.243518	331.291678
0.398997	262.293438
0.428562	541.163500
0.858486	817.386209
0.969486	1263.288900
0.258934	221.895090
0.162282	123.022031
0.128057	243.583933
0.698341	477.978548
0.274021	216.164246
0.363480	339.239574
0.133752	105.149521
0.444015	530.706610
0.704249	965.311146
0.832026	846.200922
0.307658	95.293426
0.589950	345.270292
0.425279	637.774797
0.110432	99.363209
0.491614	875.076900
0.461764	675.016186
0.341258	534.711577
0.305304	483.379031
1.259575	820.282568
0.588154	661.904533
0.268198	318.492309
1.120287	915.479985
0.177032	376.591955
0.430440	385.273323
0.269037	250.071407
0.274352	228.471972
0.915006	1312.493684
0.245819	478.526770
0.126645	111.037550
0.036314	81.456922
1.079490	1116.783171
0.639967	402.404631
0.066112	29.135208
0.259106	391.296328
0.120698	134.244881
0.871197	775.634360
0.479872	396.742140
0.472986	428.236145
0.464146	490.724044
1.140775	734.470085
0.256936	140.580041
0.327210	516.458062
0.751765	849.845444
0.122839	170.870735
0.390759	375.170833
0.119457	114.968563
0.116311	117.897888
0.174923	267.292220
0.331730	233.427758
0.651038	666.683216
0.457839	242.253088
0.756581	833.089175
0.164619	205.858244
0.193694	259.434576
0.313202	158.387415
0.312129	266.133081
