# z_cadidates 	 DM_IGM_candidates
0.069752	142.685266
0.208516	73.288491
0.115611	115.028254
0.990310	912.289186
0.430923	489.246544
0.523391	298.829288
0.670523	860.521839
0.155795	125.963382
0.875703	614.134178
0.241350	176.111446
0.181537	82.222743
0.283510	312.918344
0.667455	513.391120
0.320695	235.825221
0.351861	421.337754
0.652461	632.227305
0.268197	366.161838
0.212051	268.659147
0.680658	861.929800
0.938178	995.461591
0.150334	276.375537
0.124243	222.134665
0.271858	194.123959
0.088532	8.298827
0.183882	185.015900
0.834620	1013.235154
0.559797	682.174371
0.658189	837.817315
0.331433	128.204899
0.929893	574.929783
0.190098	187.507538
0.665680	818.925460
0.103752	37.873989
0.239992	198.172408
0.202523	225.429836
0.447459	787.434676
0.363967	417.663910
0.322022	275.413683
0.205684	44.558052
0.230494	248.793671
0.458405	777.283068
0.293395	190.492582
0.126124	65.079217
0.084956	45.145471
0.219853	391.955475
0.071417	86.124042
0.149659	154.268615
0.115489	238.998375
0.341244	434.054390
0.239785	257.098111
0.279649	531.598941
0.309030	292.653674
0.437352	710.155973
0.175605	210.631917
0.157609	126.526437
0.130766	58.359050
0.320573	220.391819
1.000006	1077.508695
0.290165	337.620913
0.936014	1002.555600
0.361226	445.389348
0.384353	290.716643
0.226210	382.054638
0.281377	168.992411
0.202980	175.934791
0.804069	1079.391364
0.647315	346.932447
0.692999	717.789870
0.143931	92.892840
1.147958	1102.948593
0.331860	592.991576
0.500940	320.464654
0.402298	471.116045
0.470384	596.437306
0.334227	589.052988
0.033478	52.959536
0.870953	1026.249453
0.216195	168.398328
0.875426	876.906165
0.713175	693.383826
0.227050	197.473093
0.239746	337.363882
0.026400	32.396714
1.173954	856.688195
0.610619	184.796707
0.343416	454.944553
0.066713	127.315548
0.116528	215.682804
0.124863	66.263007
0.165273	230.614339
0.550104	33.344004
0.236104	545.738565
0.098107	161.825456
0.274074	454.140875
0.291554	300.637157
0.295142	305.736553
0.286659	187.126916
0.263093	204.026851
0.492444	237.368631
0.118468	24.045082
0.164485	93.186675
0.096400	99.476423
0.217990	194.643870
0.160903	248.315870
0.412552	319.264606
0.189621	154.136097
0.132747	70.711538
0.094560	77.879434
0.717201	858.916226
0.266170	329.134456
0.406985	521.470921
0.740579	639.776452
1.309624	1527.231400
0.136903	129.901336
0.046728	17.814176
0.147346	403.339644
0.253823	401.982059
0.276500	467.045178
0.172517	247.149151
0.602782	864.898990
0.183582	226.476957
0.350940	432.727259
0.332171	275.187472
0.115301	201.984183
0.358350	386.289072
0.417301	654.933186
0.105528	154.640617
0.167434	265.697896
0.393561	327.446698
0.146399	100.632315
0.261576	312.495442
0.495899	656.989945
0.178874	78.669712
0.543610	829.008942
0.123892	21.438006
0.386652	265.882447
0.420360	347.147395
0.332360	659.574956
0.519545	452.991035
0.212014	344.175363
0.342878	152.546372
0.230525	212.968767
0.479260	534.959981
0.921698	1370.344177
0.956285	899.621204
0.296397	171.567901
0.153101	167.263777
0.098884	224.969419
0.330036	17.417782
0.323727	78.794246
0.973568	1453.522588
0.533461	516.523016
0.106898	2.316743
0.991708	570.442723
0.191123	173.003829
0.368365	296.320837
0.047773	3.706742
1.257548	1359.131687
0.801366	716.183658
0.114048	147.991636
0.237325	216.008799
1.293754	1275.826159
0.879724	1373.933581
0.330660	532.445073
0.082855	34.691298
0.157710	50.305524
0.416364	352.150085
0.369440	310.208538
0.153450	163.577666
0.480905	297.244357
0.606966	672.235997
0.218270	171.487518
0.820361	864.695106
0.505190	576.676617
0.113324	94.094057
0.528123	311.065381
0.121703	120.609029
0.118393	84.624506
0.531735	891.841983
0.192849	42.490478
0.359624	326.854663
0.166422	95.197131
0.250964	234.394640
0.969556	1142.700044
0.394196	212.310743
1.029043	1135.763121
0.493346	423.093482
0.300775	592.042567
0.244062	106.944046
0.805269	800.024010
0.364081	738.491136
0.136894	235.172971
0.379682	327.087450
0.360473	402.339574
0.283562	361.405958
0.858921	484.235836
0.227039	55.166400
1.480568	1687.037824
0.608510	654.318668
0.442206	780.060930
0.770917	911.920467
0.383962	472.900226
0.547987	529.629059
0.367302	551.126466
0.290186	83.716722
0.320890	188.569092
0.512355	412.339522
0.654256	590.758730
0.154037	237.172208
0.330090	122.316227
0.364236	176.487799
0.592912	768.529907
0.399890	311.809334
0.339545	98.189934
0.371462	540.497023
0.200440	298.268381
0.252002	159.223772
0.674580	690.684300
0.627049	528.130939
0.846539	528.043633
0.608817	606.499798
0.332443	574.256506
0.338169	214.765976
0.640076	482.330847
0.755337	1040.807580
0.229588	305.322393
0.437389	565.023752
0.331773	306.730727
0.739322	586.441269
0.486291	427.476435
1.034513	1300.367021
0.240290	185.970369
0.372202	504.986977
0.167695	209.114776
0.258876	269.063612
0.226100	36.373738
0.203275	89.614864
0.252315	329.039513
0.199501	110.135171
0.294769	237.270638
1.241861	1175.906878
0.505817	925.080766
0.145603	113.617541
0.570702	362.106686
0.656159	944.826818
0.673168	709.067024
0.140558	67.277815
0.438765	711.622040
0.118263	186.377507
0.117104	199.065026
1.162538	1002.661636
0.187425	365.924982
1.055558	1201.491873
0.503823	269.180630
0.539789	390.696731
0.167845	419.373068
0.135166	36.604612
0.455925	448.665727
0.621851	675.882975
0.103401	41.271079
0.424733	322.448934
0.557731	511.943187
0.387395	451.658454
0.748335	876.976705
0.546393	783.240897
0.116095	6.942742
0.160050	232.459132
0.576808	560.593112
0.512367	473.210101
0.594591	910.264685
0.375782	329.905633
0.463227	471.425247
0.017252	15.797766
0.211415	550.245281
0.159263	225.038162
1.146566	921.262621
0.402734	511.542878
0.394726	528.878165
0.168479	93.176046
0.429374	368.944125
0.497584	175.342577
0.275277	120.730634
0.691494	896.053482
0.395307	259.465949
0.648038	795.027334
0.854826	1192.176093
0.546671	854.559281
0.746769	632.860213
0.120396	221.905996
0.263489	197.456860
0.131051	18.054832
0.132612	78.225894
0.225113	159.246477
0.179184	111.452656
0.459592	398.983033
0.327344	1.797322
0.059193	100.362248
0.329162	491.110860
0.189550	209.883979
0.165535	238.777380
0.283178	109.738551
0.733544	743.399741
0.120063	77.417128
0.061655	54.451471
0.067146	43.758340
0.088443	224.992324
0.514408	502.700964
0.057988	152.510579
0.415355	222.363156
0.595154	665.284032
