# z_cadidates 	 DM_IGM_candidates
0.520219	475.508259
0.796004	276.252894
0.383457	319.522261
0.413200	353.481341
0.433712	899.845611
1.274112	1057.473951
0.748363	909.321666
0.267694	372.445510
0.178267	46.492467
2.295409	2453.499956
0.177247	119.380165
0.599237	270.484897
0.807518	1257.330830
0.182793	270.716949
1.055748	1113.174926
0.346780	243.823572
1.191074	778.311292
1.507361	1602.245395
0.304293	308.412714
0.725929	1054.346325
0.129660	91.693389
0.227203	20.559682
0.779535	1009.683299
0.100574	184.188949
0.293804	284.376056
0.179134	305.828875
0.862124	1005.480018
0.277603	285.183592
0.915660	781.565250
0.061220	57.698955
0.692669	770.598111
0.319610	173.963074
0.680756	791.236361
0.569699	405.270986
0.597409	251.639308
0.812853	940.159369
0.892653	1123.231082
0.740391	836.747032
0.157768	80.248207
0.265632	351.210962
0.198285	208.229177
0.624222	748.135433
0.488864	661.683129
0.290359	129.517607
0.538443	571.128128
0.276334	220.293809
0.805734	700.374300
0.258738	265.180682
0.225110	294.189522
0.179710	110.563719
0.238801	229.246910
0.484167	251.184320
0.159791	166.724511
0.239908	77.332875
1.281740	1034.630942
0.799231	748.085409
1.115963	1302.530273
1.007241	747.758240
0.382448	691.998529
0.236575	268.960850
0.137467	146.489473
0.620467	514.247322
2.179542	2104.115197
0.283292	310.138841
0.272706	259.403545
0.577431	243.767970
1.211168	1435.074434
0.111504	13.839616
1.509521	1247.672136
0.327515	205.039103
0.140291	162.317513
0.894234	1067.066537
0.241849	167.011121
0.657239	712.764773
0.142996	122.488939
0.839787	817.856695
0.195373	322.936377
0.554491	833.771001
0.725905	729.424944
0.997230	1094.843023
0.438925	333.719470
0.261956	215.684909
0.716688	723.127941
0.812221	1229.113809
0.420717	556.481875
0.295660	259.425571
0.146579	41.511783
0.605053	252.944904
0.249494	402.189546
0.260603	474.376340
0.107613	113.519201
0.310161	374.113847
0.194318	167.304745
1.048588	949.662466
