# z_cadidates 	 DM_IGM_candidates
1.205523	1423.966638
0.647991	822.037044
0.936042	1025.164811
1.435016	1459.446099
0.797937	638.832620
0.614557	567.848949
0.286392	345.873703
0.513982	482.367606
0.752458	552.447451
0.128505	366.506197
1.324359	1251.108288
0.645439	414.487643
0.708509	870.352881
0.391389	256.930769
0.677428	599.813975
0.405311	460.542876
0.173483	62.212428
0.494616	336.758744
0.807577	576.282198
0.155507	129.393185
0.883955	766.947536
0.324450	291.914599
0.488124	870.432352
0.164989	306.350799
0.860040	1232.478185
0.443892	355.829090
0.647463	909.429978
0.149840	113.409859
0.133243	215.008890
0.370393	472.470825
0.239228	480.276697
0.954344	1312.590039
0.200789	68.460326
0.347197	70.529129
0.266290	311.463908
0.602811	675.663300
0.864768	763.950102
0.534113	271.833125
0.505380	509.536549
0.619216	964.490220
0.708877	455.942572
0.248251	193.463508
0.150000	113.305949
0.884529	1073.242335
0.140173	146.596579
0.187349	44.915889
0.186531	138.704295
0.911681	810.921287
0.666894	463.127332
0.060322	131.739901
0.294624	196.511450
0.210324	3.989646
1.751828	1989.320265
0.315808	254.122363
0.244858	365.821641
0.753575	828.651980
0.203840	212.715536
