# z_decected 	 DM_IGM_detected
0.369365	460.574042
0.650802	451.767970
0.271488	395.819409
0.127910	22.952254
0.095525	147.940817
0.345336	331.486772
0.223128	333.640092
0.467971	350.574140
0.097477	23.959909
0.222515	119.856269
0.139674	174.628750
0.060874	126.492658
0.309501	452.342086
0.121635	110.516399
0.089618	101.595352
0.303787	317.527307
0.212728	323.316589
0.084627	134.524128
0.171432	51.731256
0.195048	226.089586
0.431195	590.913673
0.460954	96.736659
0.087417	41.503596
0.222762	156.990925
0.872670	574.835036
0.357649	334.789001
0.407459	199.685044
0.076353	167.205997
0.708931	916.418368
0.118768	312.833313
0.132620	128.417917
0.132464	90.086898
0.103543	243.453326
0.186869	25.441150
0.032656	23.319170
0.188490	207.747058
0.135446	205.758664
0.137438	25.844004
0.207536	597.534113
0.036820	94.131401
0.119597	37.458583
0.069819	22.943437
0.222446	183.716901
0.104742	78.566908
0.072313	33.579663
0.317643	399.963277
0.318844	506.737202
0.284899	235.594730
0.352901	296.942110
0.070794	105.457473
0.439944	479.337725
0.504631	780.462536
0.313979	368.201197
0.372937	561.906753
0.594500	457.107010
0.286222	390.765645
0.280639	499.874820
0.613351	203.430975
0.147189	259.571493
0.730008	539.026987
0.117158	91.364052
0.154944	240.422349
0.122353	150.010511
0.465564	457.589211
0.291029	363.365532
0.671682	695.235793
0.467018	586.163066
0.096654	159.247840
0.193975	358.946048
0.507669	429.214050
0.691831	633.557072
0.458972	673.005417
0.166030	194.398075
0.118442	135.734543
0.161876	143.215446
0.078226	129.400305
0.146090	266.577542
0.271833	125.508414
0.073933	18.659863
0.211562	137.218816
0.113382	45.318284
0.165812	173.652844
0.391463	294.455812
0.364572	229.380258
0.399401	582.221059
0.239024	324.249090
0.252607	354.038546
0.145020	342.818956
0.044542	24.377323
0.228426	156.520178
0.392314	418.236167
0.191921	132.091610
0.087196	21.330860
0.244624	136.636531
0.520883	588.379848
0.104714	121.007510
0.131825	151.959647
0.138987	113.971501
0.496666	554.449498
0.228593	123.462098
0.963383	1233.500710
0.053593	91.266974
0.175796	306.967296
0.528930	421.257656
0.061036	16.695755
0.131527	93.333892
0.156367	129.456630
0.179427	97.932684
0.236774	357.486675
0.070133	74.256752
0.241688	296.255649
0.142285	84.684132
0.246525	172.876235
0.220202	287.428080
0.070286	124.208026
0.127394	19.850116
0.108900	270.819645
0.206281	408.909552
0.474609	692.967872
0.063251	95.914179
0.151958	161.230027
0.325142	457.789519
0.798395	828.821915
0.191466	442.755757
0.233515	508.551006
0.332604	305.229217
0.494426	605.810861
0.063522	29.628155
0.183309	204.104974
0.231221	409.168017
0.050743	45.809661
0.136078	168.704523
0.294086	746.889607
0.052969	1.104175
0.528268	275.215090
0.217701	281.212934
0.090636	181.827549
0.394177	230.298165
0.386583	169.437965
0.431790	565.128279
0.074145	166.507068
0.119380	192.902565
0.156661	112.586127
0.269106	136.022784
0.179101	103.078587
0.129076	259.887580
0.229655	234.209971
0.169800	124.511285
0.196518	323.998611
0.057444	136.134640
0.344135	386.222270
0.301837	342.957217
0.049939	103.934227
0.101980	186.868916
0.503082	571.576100
0.212245	82.376968
0.090204	158.532270
0.233592	141.702479
0.134884	52.943803
0.768991	997.768489
0.325126	423.725032
0.194392	171.244078
0.480914	335.591363
0.349686	304.757528
0.277144	85.210395
0.125402	178.670332
0.388276	429.754030
0.649993	1171.780345
0.119104	102.033969
0.429840	306.953641
0.226843	10.266826
0.977210	693.753580
0.159892	115.141367
0.145049	139.257096
0.139567	255.795053
0.407925	558.790304
0.102162	191.015102
0.300037	320.025240
0.504291	741.900546
0.076809	22.074047
0.164235	400.568685
0.338331	204.959721
0.420243	160.141065
0.303843	98.844806
0.095735	142.593833
0.681234	209.517712
0.097833	202.588976
0.427571	393.508221
0.070559	52.802593
0.097355	159.772678
0.437043	172.931799
0.324459	253.239311
0.193502	387.152277
0.121507	24.896904
0.277818	384.705668
0.116408	104.629448
0.229341	270.789197
0.040154	91.533151
0.303467	238.762764
0.153862	67.611056
0.434368	577.077892
0.191425	156.175038
0.225152	189.045953
0.064163	159.031624
0.185411	183.050476
0.535214	428.011619
0.106713	27.510250
0.265647	288.140782
0.096802	109.869631
0.643498	929.811955
0.608566	626.104934
0.440073	385.638371
0.440874	468.420987
0.170969	393.932677
0.320943	353.881491
0.100281	152.287812
0.375660	376.982701
0.315286	164.460964
0.332402	329.713812
0.199469	145.663516
0.134248	114.064516
0.193553	0.850801
0.122077	92.501875
0.153725	73.023948
0.466805	279.343104
0.595610	898.120128
0.395488	379.470784
