# z_decected 	 DM_IGM_detected
0.520407	578.247337
0.178350	163.707920
0.254416	115.479572
0.235870	69.538807
0.562110	296.877283
0.070124	52.585295
0.263349	14.184359
0.408226	324.260684
0.128955	113.685934
0.136079	54.995494
0.129482	243.873101
0.054643	29.187728
0.398431	451.320737
0.275046	397.807312
0.142605	69.709183
0.023279	52.939273
0.173146	57.425484
0.033177	34.482174
0.167592	27.595641
0.279910	305.824383
0.138112	351.075951
0.227319	343.863085
0.107641	79.525574
0.138966	158.138831
0.323224	288.786023
0.017362	7.060568
0.007535	14.924067
0.310522	147.962608
0.059929	49.087595
0.165596	205.657246
0.210105	137.552294
0.146036	82.661682
0.280622	354.222842
0.142915	202.887202
0.714411	563.150033
0.058071	18.387881
0.183155	204.977232
0.117619	59.734535
0.025100	27.331308
0.185022	52.463869
0.849813	1029.305485
0.312430	85.502886
0.309611	364.158597
0.051515	35.368259
0.314684	205.804949
0.491452	754.956189
0.415336	530.336060
0.250071	171.079940
0.029966	19.099291
0.389570	446.483701
0.132268	226.894767
0.427009	427.097128
0.770427	608.796839
0.036010	36.556167
0.274532	57.773846
0.090298	160.492017
0.087243	145.453564
0.302172	221.483060
0.155571	26.804338
0.545793	667.420239
0.111038	230.799649
0.330864	277.778706
0.281564	335.862137
0.456928	335.396449
0.291764	141.645063
0.094786	102.326346
0.089086	12.452115
0.221843	166.827602
0.148814	183.900370
0.519122	635.808428
0.076070	97.325581
0.380161	362.320667
0.099700	33.209262
0.192282	170.113693
0.332227	246.202867
0.084203	31.251798
0.209985	85.444779
0.805532	663.352447
0.909776	1147.242415
0.139984	173.459176
0.373656	597.363684
0.403835	319.812618
0.192296	212.943367
0.975817	780.723038
0.251600	206.365303
0.319389	251.463644
0.135090	58.941229
0.050355	61.188696
0.279314	392.599979
0.216740	416.453606
0.505637	724.889310
0.251067	272.932448
0.147774	50.650659
0.436042	445.778712
0.051293	77.124095
0.082885	141.231592
0.094402	12.630079
0.368260	374.960757
0.294915	213.447395
0.300371	296.093574
0.420558	553.853322
0.131960	65.651361
0.023724	29.360333
0.644665	772.372313
0.207405	60.944311
0.253269	314.946047
0.294344	410.965263
0.320689	282.661473
0.528838	401.230334
0.060850	1.160073
0.388834	398.478782
0.045059	68.619286
0.277342	320.284873
1.342493	1646.137945
0.329756	448.668251
0.168225	373.592097
0.378531	417.626414
0.090454	178.452756
0.287151	120.899137
0.356903	206.823586
0.512222	690.333622
0.046733	30.220216
0.412440	403.413526
0.419859	405.025445
0.454117	428.134610
0.385777	772.982451
0.460245	317.595110
0.535232	911.046472
0.421103	113.687869
0.196832	140.207048
0.043285	13.810731
0.072812	196.718794
0.101477	299.197865
0.268629	216.864018
0.205987	253.795152
0.264217	410.444284
0.144279	201.826204
0.292537	80.018033
0.428716	524.810421
0.297195	63.108862
0.346463	79.001561
0.158417	71.593625
0.130697	58.522558
0.371341	33.822027
0.146646	135.668616
0.416453	168.734236
0.345612	302.973364
0.073022	127.380871
0.254501	52.383515
0.179683	258.270486
0.160870	271.169418
0.309485	220.697347
0.254857	385.910639
0.297425	502.387793
0.207156	168.676615
0.115292	215.371437
0.218678	398.392974
0.040028	39.291324
0.077379	78.409773
0.025081	17.776681
0.144533	39.151088
0.085603	176.003929
0.589394	556.879660
0.094146	76.404785
0.465497	448.683641
1.370536	1276.453532
0.399190	551.315340
0.360221	432.114322
0.312970	252.040629
0.415563	298.426570
0.164363	88.029011
0.088174	244.365566
0.107808	142.863958
0.229644	264.779932
0.475797	208.481276
0.157389	165.352222
0.185202	83.197272
0.462782	496.040160
0.445488	157.848795
0.182361	121.315707
0.799415	705.138379
0.089173	104.943691
0.227572	144.962163
0.707900	900.298774
0.115570	71.373218
0.112925	247.252759
0.152288	113.888371
0.121250	140.286578
0.135129	129.161302
0.240358	51.476483
0.057306	36.437814
0.126852	74.043657
0.509302	447.806509
0.516269	535.100864
0.969724	1153.689205
0.376774	412.940146
0.093154	75.626814
0.067617	46.891180
0.137030	81.716256
0.386923	501.159942
0.232279	243.649584
0.660712	604.082122
0.248909	322.027608
0.378759	154.880834
0.564484	415.912905
0.319706	544.116084
0.049232	36.745459
0.039037	8.271371
0.231878	474.298879
0.258899	156.543455
0.114049	127.847702
0.064362	11.681821
0.228467	196.628141
0.486859	508.884260
0.190373	69.050989
0.279541	240.895275
0.105853	172.047425
0.590963	505.950560
0.304537	450.115816
0.108544	357.223323
0.502692	532.391435
0.492265	467.554757
0.520570	440.946122
0.322390	374.764171
0.295710	437.362484
0.109155	205.336316
0.050801	99.359427
0.109283	81.909915
0.092209	32.488520
0.374821	184.510082
0.161957	239.099761
0.161940	55.877275
0.174310	84.568681
