# z_decected 	 DM_IGM_detected
0.317517	547.698824
0.243015	494.559904
0.350583	482.570603
0.193900	143.716015
0.473407	747.796502
0.251527	297.279562
0.097032	110.816629
0.286441	454.774368
0.130889	119.715184
0.701519	640.737897
0.148336	236.522560
0.706652	440.505352
0.419257	102.481726
0.119065	51.355000
0.369505	326.016535
0.158552	360.048688
0.182825	143.972995
0.252689	72.970854
0.055909	86.283236
0.064653	105.265983
0.258109	355.561124
0.124808	285.614496
0.286724	409.854975
0.266296	424.748488
0.200700	53.027819
0.173863	72.532040
0.213548	217.760612
0.004317	7.017600
0.061493	84.258440
0.106359	127.180506
0.336057	451.599263
0.147464	73.798428
0.213727	310.039300
0.397808	720.413616
0.129458	148.904044
0.486830	449.670723
0.139180	80.043608
0.235633	169.681488
0.536469	912.366828
0.038495	3.604567
0.183115	47.406285
0.130028	141.039607
0.181967	169.794012
0.069907	55.038798
0.071828	28.649021
0.063759	53.966848
0.071971	84.424285
0.267198	311.053980
0.093510	40.826180
0.109006	88.155852
0.444328	487.762785
0.212170	491.937916
0.196309	286.906463
0.073117	110.377985
0.270891	168.976323
0.211770	168.904626
0.098792	44.508419
0.048981	115.985729
0.309044	403.881545
0.212612	33.108428
0.111588	57.637508
0.110205	361.532141
0.262601	415.520248
0.071891	35.510242
0.041326	30.583945
0.303420	321.178310
0.269206	56.979719
0.106989	77.802536
0.302482	176.176732
0.109277	181.641183
0.109609	60.266313
0.158110	330.913935
0.232401	19.177807
0.235307	216.030718
0.496514	736.069709
0.082362	186.498331
0.595262	410.927698
0.757956	702.920161
0.549160	430.675322
0.433365	377.240046
0.204563	146.998184
0.047946	31.684073
0.192144	235.637723
0.121124	149.859163
0.669693	608.054610
0.149041	372.791989
0.132773	8.665556
0.434238	468.042259
0.233818	456.630022
0.103083	84.454187
0.196463	118.849257
0.141621	252.738900
0.240851	3.841614
0.019024	33.480642
0.158505	307.728654
0.092337	71.477360
1.140876	1294.393644
0.061697	107.318203
0.555746	895.258946
0.240542	225.311228
0.115520	18.295058
0.352272	554.084664
0.170216	390.141987
0.103131	72.844558
0.272569	500.792116
0.091951	270.786617
0.463211	503.657030
0.539227	585.939952
0.108537	273.560453
0.308092	391.763680
0.072304	59.319211
0.230009	379.382730
0.044522	65.060561
0.279497	200.695296
0.154625	140.545884
0.067622	166.495921
0.501419	340.439414
0.055320	80.270288
0.430803	312.650268
0.043494	16.840438
0.119562	126.213269
1.018527	1173.742203
0.312270	597.430508
0.319568	305.637648
0.135033	68.179395
0.044854	52.025056
0.073820	1.740722
0.973281	1047.722935
0.729396	759.388844
0.307601	468.693802
0.072138	80.162407
0.298942	204.734237
0.212020	178.128670
0.124526	31.304972
0.161192	125.816824
0.112287	161.285052
0.656110	545.985135
0.294901	106.096554
0.055462	35.225232
0.079914	170.412942
0.061448	124.973613
0.897569	1202.122382
0.969505	1247.779418
0.146300	200.993333
0.274854	279.090212
0.465006	385.980351
0.182333	193.323666
0.057552	160.491872
0.545615	930.757560
0.216790	340.317843
0.263602	91.157827
0.205216	279.135174
0.194140	68.804603
0.082704	132.914010
0.238520	308.911469
0.218568	278.402419
0.356533	347.832915
0.090854	40.138536
0.261465	540.888917
1.224815	1085.849231
0.454879	450.147770
0.455542	359.420541
0.394752	498.669889
0.169438	231.652781
0.296392	83.059015
0.181006	75.425626
0.199290	170.154686
0.944671	859.138280
0.540789	288.902600
0.345589	151.744585
0.196803	357.528851
0.153404	127.107764
0.895275	914.584332
0.087111	56.438892
0.108033	82.519441
0.124765	99.739423
0.154254	52.826177
0.169336	425.856927
0.097109	8.709158
0.066596	191.915343
0.021373	32.055167
0.214497	219.214991
0.559339	746.904365
0.307018	496.725092
0.316423	265.505416
0.238686	61.414392
0.039729	27.661445
0.794726	780.617539
0.639663	758.940379
0.123611	266.249102
0.690556	784.811326
0.289559	323.579985
0.033892	13.339232
0.082254	155.956891
0.082946	70.827202
0.121825	121.188892
0.136955	178.914177
0.955793	1205.453567
0.287566	35.199175
0.487068	692.111469
0.087314	129.597178
0.126494	269.661256
0.485689	278.962518
0.167427	211.075212
0.212495	485.330331
0.418000	31.281885
0.125425	99.134137
0.146820	116.888198
0.142175	167.845050
0.328291	150.290041
0.688888	804.762202
