# z_decected 	 DM_IGM_detected
0.071786	34.964936
0.291005	248.603212
0.156971	60.982001
0.167605	146.184103
0.243881	130.123930
0.364467	597.391264
0.536995	743.349553
0.183327	280.873674
0.289982	180.109151
0.214288	201.148243
0.411653	243.523800
0.315191	178.063062
0.660185	478.314331
0.115477	95.424765
0.416401	553.992509
0.375114	180.731843
0.083457	9.984647
0.465972	349.615097
0.282418	479.857603
0.408194	399.877108
0.141072	10.118804
0.271004	400.682498
0.070424	46.577725
0.266509	110.682189
0.266824	22.888428
0.272150	389.230512
0.098089	115.907473
0.274625	259.219581
0.893416	920.352796
0.186906	202.635431
0.029712	39.940954
1.075772	837.022694
0.101948	167.227782
0.099333	240.682429
0.200805	298.589068
0.223642	139.620684
0.059718	13.012580
0.168205	41.947209
0.158654	228.985398
0.249052	349.441272
0.569671	639.013807
0.094739	111.577241
0.053024	78.943520
0.574639	93.483038
0.404132	593.963356
0.278518	367.704341
0.161430	306.735784
0.508808	436.093379
0.038043	31.277865
0.187850	357.562684
0.544555	658.746333
0.164861	136.483383
0.075782	71.296352
0.179818	561.517630
0.102548	121.678075
