# z_decected 	 DM_IGM_detected
0.238984	464.304715
0.177469	266.024067
0.330249	156.662591
0.092331	126.177819
0.564968	465.481696
0.622363	639.469761
0.137017	93.143581
0.193935	253.321326
0.221300	26.923069
0.034099	53.507345
0.028760	1.074230
0.275094	490.778428
0.309563	338.206807
0.213855	113.151010
0.152813	134.559391
0.358641	227.348931
0.275183	245.592731
0.329616	449.939213
0.390799	293.334661
0.153060	208.281570
0.175404	77.777476
0.280254	97.776444
0.090229	217.487852
0.207389	274.957072
0.248935	416.684695
0.083625	24.952007
0.368963	443.834219
0.078248	155.129061
0.315577	328.690225
0.326942	341.839715
0.444259	344.628387
0.166158	172.657790
0.473191	192.868717
0.059709	144.121555
0.129468	344.759561
0.082222	32.403171
1.096276	1029.019666
0.142782	304.933730
0.261259	441.939654
0.210355	417.250956
0.279224	148.794691
0.844750	997.809884
0.552068	524.610643
0.063658	212.851855
0.507020	465.345371
0.109227	278.239781
0.177605	164.014318
0.414675	326.770218
0.106602	136.667202
