# z	DM
0.839082	874.002981
0.808434	697.869639
0.487837	380.738059
0.872955	1345.408801
0.528542	680.979790
0.208672	191.168831
0.563674	588.625063
0.129993	196.107986
0.865194	1059.984903
0.932101	942.749966
1.640501	1618.778607
0.227994	212.154548
0.495389	725.093407
0.253185	57.052537
0.765786	680.593186
0.242854	354.549005
0.456557	432.505746
0.487067	410.076301
1.377575	1816.685070
0.576575	633.583379
0.118094	122.982005
0.250947	300.316033
0.475239	431.790348
0.094463	99.670292
0.745350	1020.604751
1.610984	1654.758895
1.826181	2484.718039
0.634241	808.673255
1.567174	1340.611417
0.175613	148.331154
1.379253	1571.927288
0.292566	330.737680
0.433923	507.106427
0.403497	406.780399
0.384734	177.336087
0.792981	530.030726
0.275836	460.993460
0.317647	253.996554
0.539899	305.325499
0.179548	277.527253
0.276774	246.516564
0.370271	219.073611
0.729613	776.597199
0.272447	428.934355
1.440823	1356.093645
1.436482	1689.886208
0.746792	805.381741
0.342195	233.568337
0.592889	692.777283
0.896079	1365.379785
0.507108	549.541364
1.050576	1268.456028
0.476368	452.470258
1.161961	1259.491075
0.327734	322.282823
0.642776	779.163299
0.133996	284.210655
0.130583	48.050616
0.120344	250.353377
0.935223	889.395013
0.826095	1025.905234
0.267023	330.739349
0.645444	957.444429
0.958268	1459.128962
0.415202	198.970484
0.159005	181.246043
0.353485	372.100792
0.570608	611.309845
0.555714	643.765119
0.630436	492.543997
0.559769	650.494382
0.376299	358.739827
0.082759	64.275167
0.153178	112.735026
0.109363	175.591309
0.160288	337.625639
