# z_cadidates 	 DM_host_candidates
1.205523	37.336992
0.647991	6.217711
0.936042	19.567911
1.435016	73.210104
0.797937	45.940755
0.614557	37.019306
0.286392	9.594774
0.513982	5.738163
0.752458	49.698841
0.128505	16.452955
1.324359	52.036414
0.645439	21.234953
0.708509	18.966812
0.391389	9.088793
0.677428	48.027159
0.405311	3.108104
0.173483	17.674907
0.494616	18.343593
0.807577	14.641267
0.155507	9.128274
0.883955	45.939089
0.324450	9.662347
0.488124	66.593294
0.164989	16.631540
0.860040	37.101512
0.443892	17.060598
0.647463	12.090104
0.149840	37.097532
0.133243	4.313809
0.370393	38.281121
0.239228	9.665867
0.954344	11.292085
0.200789	128.351030
0.347197	25.434100
0.266290	8.790735
0.602811	38.697489
0.864768	23.767939
0.534113	22.412934
0.505380	14.176177
0.619216	25.593613
0.708877	19.196472
0.248251	15.655448
0.150000	3.800978
0.884529	8.897238
0.140173	5.119655
0.187349	1.419871
0.186531	33.214228
0.911681	38.950054
0.666894	26.697699
0.060322	7.417800
0.294624	12.768880
0.210324	31.151999
1.751828	63.203219
0.315808	1.288975
0.244858	16.284710
0.753575	25.495473
0.203840	3.954957
