# z_decected 	 DM_host_detected
0.238984	6.029354
0.177469	34.561322
0.330249	14.628059
0.092331	8.291069
0.564968	27.013093
0.622363	13.104527
0.137017	10.872070
0.193935	4.968474
0.221300	18.507104
0.034099	2.694378
0.028760	1.112185
0.275094	16.565308
0.309563	16.522416
0.213855	24.223058
0.152813	15.705556
0.358641	32.007072
0.275183	34.757954
0.329616	22.450222
0.390799	27.267526
0.153060	33.204354
0.175404	9.317265
0.280254	17.457255
0.090229	10.552801
0.207389	157.326292
0.248935	15.113213
0.083625	3.851861
0.368963	43.947462
0.078248	12.946428
0.315577	2.943394
0.326942	4.093244
0.444259	13.275562
0.166158	16.777600
0.473191	21.878551
0.059709	6.453815
0.129468	27.896540
0.082222	33.282247
1.096276	47.034899
0.142782	43.726049
0.261259	3.669897
0.210355	29.237345
0.279224	6.044061
0.844750	61.559682
0.552068	5.224678
0.063658	3.773158
0.507020	30.820336
0.109227	2.453538
0.177605	35.121586
0.414675	17.421090
0.106602	3.295896
