# ra_cadidates 	 dec_candidates
0.459204	-0.103077
-2.525775	-0.019307
1.408347	-0.006890
-0.438998	-0.144140
-3.064338	0.046046
1.866645	0.019319
-0.496211	0.027651
-1.600902	-0.204016
0.743868	-0.081244
0.916084	-0.166355
-1.189172	-0.003687
1.396668	-0.170070
2.496693	0.009991
2.306805	-0.103683
-0.466924	-0.184559
-1.260159	-0.077385
-2.015200	-0.154280
-2.490657	-0.150406
-0.452259	0.025663
-1.305798	-0.107758
1.953392	-0.092690
-0.643605	-0.204572
-2.008075	0.038088
-1.181448	-0.015140
2.433596	-0.163570
-0.821773	0.053663
2.321604	-0.059447
-0.684373	-0.112904
2.549563	-0.055514
1.833621	-0.095926
1.701206	0.026536
0.718819	-0.087762
1.359163	-0.096174
-2.467243	0.002832
2.295466	0.000068
3.117583	-0.053970
1.569995	-0.076702
-1.038178	-0.178659
0.207917	-0.120094
0.967099	-0.202160
-0.272106	0.037156
0.126182	-0.124930
-3.076046	-0.104570
2.825770	0.047121
0.898115	-0.191648
-1.837838	-0.019479
-2.100127	-0.182438
2.415558	-0.201006
3.104151	-0.071608
1.371890	-0.032107
-2.263328	-0.080454
1.558789	-0.012540
-1.260475	-0.116949
-1.888323	-0.151039
0.806674	-0.202056
-0.990317	0.049407
-1.920884	-0.117507
1.326328	-0.019268
-2.045071	-0.185629
3.077676	0.037956
2.939023	-0.014252
-2.315087	-0.204054
-1.510568	-0.064464
2.425536	-0.179996
2.830404	-0.159228
2.939879	-0.007279
-1.252429	-0.135678
-0.591219	-0.129554
-2.146098	-0.015970
2.208127	-0.072499
-3.050760	-0.199417
-0.753588	-0.102712
2.469154	-0.197677
-3.120799	-0.183355
2.956737	-0.164762
-2.650304	-0.179324
-0.833469	-0.095016
-0.698207	-0.071440
-2.434030	0.003582
3.064762	-0.079531
-3.098404	-0.153142
2.929597	-0.063617
-2.820729	0.037304
-0.471577	-0.177236
0.187061	-0.163798
1.124072	-0.148015
-2.979983	-0.126659
-0.683641	0.022286
1.404686	0.018589
0.999325	-0.070237
2.231145	0.021045
-2.066697	-0.152863
-1.749607	0.044175
-2.574436	-0.091832
-2.610971	-0.097135
2.238924	-0.077881
-0.341179	-0.048202
1.127306	-0.022147
1.464792	-0.145543
2.614287	-0.069615
0.513485	0.002998
0.161166	-0.203860
-2.211073	-0.158114
1.146651	-0.087237
2.708681	-0.121023
1.997624	0.024850
1.060626	0.058001
1.490342	0.011299
-0.096485	-0.192639
-1.822790	0.051784
2.757244	0.030423
-2.303733	-0.004276
3.104562	-0.167108
-3.003465	-0.195703
-3.055421	0.039395
-0.337205	-0.020686
-2.363121	0.051434
-0.854080	-0.010763
0.987830	-0.204254
2.701638	-0.127498
-0.318932	-0.167858
0.994895	-0.198927
1.083811	-0.089149
-2.899125	0.013007
-1.995750	-0.163261
2.442936	-0.065879
2.300222	-0.115584
1.163081	-0.105447
1.010718	-0.096859
-2.963952	-0.005155
1.472152	-0.164450
-0.226786	-0.191152
0.182064	-0.085304
-2.179268	0.051974
2.457894	-0.151272
2.368765	-0.105188
-2.211648	-0.186467
0.060953	-0.059983
-1.048801	0.016759
-0.638811	0.022629
1.012464	-0.144488
-0.394368	-0.047883
-2.923709	-0.111079
-1.532172	-0.005815
2.415231	-0.134595
2.642615	-0.015397
-0.892480	-0.001243
0.000310	0.013905
1.729457	0.027955
2.264791	-0.033970
1.231888	0.011737
-2.340877	0.001381
-3.056818	-0.049119
2.036336	0.044247
-0.109885	-0.165677
-2.585507	-0.123986
2.490267	-0.097374
-2.238114	-0.108376
-1.246661	-0.143690
0.984795	-0.004139
1.265866	-0.082054
1.872834	0.041261
1.929821	-0.030435
2.986122	0.055658
0.129154	-0.203729
1.304499	0.002465
2.923296	-0.095060
-1.584270	-0.076406
-3.087786	-0.134919
1.365329	-0.015992
-1.139264	-0.013790
1.198278	-0.083207
3.058068	0.062413
-1.835383	-0.020486
3.137459	-0.031678
-2.538101	-0.058698
-2.297029	-0.155058
2.903036	-0.148106
0.057333	0.017623
-1.336641	-0.137161
0.999969	0.050547
2.587948	-0.088411
-0.258921	-0.140623
2.048279	-0.149917
0.312612	-0.144897
0.236792	-0.006938
-2.456347	-0.050493
1.644698	-0.099938
0.575107	0.001646
-2.298601	-0.099365
1.733540	0.006863
2.673901	-0.204327
1.102938	-0.068577
-2.614446	-0.176695
-2.616689	-0.115638
-2.221943	0.006782
1.908822	-0.011495
1.672953	-0.170701
0.851784	-0.137460
2.584450	-0.015767
2.980747	0.016230
2.342802	0.049086
1.043101	-0.117089
-0.406699	-0.176334
2.962942	0.047048
0.536628	-0.059616
2.091429	0.052294
2.022562	0.038317
