# ra_cadidates 	 dec_candidates
-0.870661	-0.101569
-2.554480	-0.104568
0.143182	0.042675
0.462033	-0.156261
2.773703	0.038146
1.962217	0.018555
-0.744450	-0.114451
-0.009107	-0.111661
-1.852249	-0.165034
-2.468292	-0.099807
0.685369	-0.052825
1.174082	-0.014388
-1.508096	0.045497
1.417505	-0.026699
-0.556946	-0.084320
-2.107432	-0.044852
-1.571057	-0.205611
0.358039	-0.202291
-1.476403	-0.124087
2.592771	-0.107956
-2.958369	-0.190389
-0.254277	0.055005
0.099703	-0.149396
-0.022370	-0.200395
1.556752	-0.191992
2.617893	-0.082796
2.320563	-0.061505
-2.350102	-0.110285
0.257104	-0.048443
-3.077587	0.057534
-0.065890	-0.060975
2.808260	-0.147259
2.803183	0.029203
1.901612	-0.092073
1.226092	-0.032793
-2.084830	-0.042981
-2.095404	-0.202315
-2.185455	-0.029068
1.304275	-0.033346
0.732313	-0.006807
-2.580364	-0.119320
-1.989836	-0.095714
0.416349	-0.136040
-0.663052	-0.182999
-0.273805	-0.053595
2.028949	-0.025958
2.254368	-0.052544
-0.146175	-0.047650
2.124432	-0.075329
0.380041	0.012097
1.492591	0.008621
2.606791	-0.070187
0.584318	0.042995
-1.484174	0.008137
2.431596	-0.030335
-0.682557	0.029166
2.791271	-0.175791
-1.070656	0.027490
1.358437	0.012083
-0.061475	-0.049199
0.379976	-0.165918
-2.386017	0.057397
-0.427193	-0.051423
-0.697631	-0.192871
-1.899729	-0.124016
0.847363	0.050834
0.174784	0.016273
1.970507	-0.138097
1.610219	-0.126894
1.364091	-0.024219
1.654886	-0.106653
1.284523	-0.181097
-0.395335	-0.038148
0.723115	-0.127830
-0.129218	-0.119977
-3.006321	-0.146628
1.338358	-0.154313
2.113272	-0.152125
0.431501	-0.069275
-0.733569	-0.157604
2.532511	-0.059732
2.690701	-0.175541
0.397518	-0.000529
0.087614	0.041309
2.568334	-0.183061
-2.463391	-0.186992
-0.178970	-0.003357
-0.948492	-0.002355
-2.386747	0.025521
-2.769657	-0.038108
-1.257576	-0.102646
-0.238766	-0.052495
1.056153	-0.201057
2.902814	-0.166902
0.547496	-0.077039
-0.015942	-0.160926
2.169508	-0.002870
0.241528	0.028702
0.810056	0.017979
-1.194024	0.015172
-2.947739	0.034802
2.866890	-0.195325
0.699078	-0.161875
1.104665	0.032719
2.560333	-0.002810
2.679094	-0.072037
2.333625	-0.078439
0.458168	-0.035456
0.597108	-0.102502
1.267526	-0.049880
-0.742944	-0.181073
-2.692018	0.031182
-0.058077	-0.194382
2.766510	0.016233
-1.255819	-0.031940
2.218176	-0.045299
2.306546	0.024298
-3.002136	-0.085559
2.696054	-0.017861
3.136380	-0.171851
-2.523946	-0.093964
-2.918720	-0.180827
1.532644	-0.079350
-0.975488	-0.115438
-1.519533	-0.075620
0.714581	-0.047217
1.921570	-0.100556
-2.682589	-0.104307
-2.905336	-0.061826
-2.619052	-0.189711
1.377842	-0.068392
0.452998	0.063775
1.781538	0.004374
-2.858615	-0.103230
-1.097354	-0.116789
1.390354	-0.021345
-0.146757	-0.139035
-2.142073	-0.159105
2.247584	-0.178177
2.597255	0.049672
1.311327	0.018494
0.143008	-0.143920
2.692183	0.051717
-0.158598	0.035930
-0.118826	-0.120010
0.996790	-0.034321
2.562067	-0.033606
-0.158033	-0.041360
2.818390	-0.044001
-1.731248	-0.138219
-1.342266	-0.056782
0.672318	-0.175256
1.015768	0.044335
2.403170	-0.163227
1.471912	-0.079718
-2.206555	0.040989
0.183442	0.023106
-2.235580	-0.197817
-1.096538	-0.091685
2.613962	0.017670
2.605396	-0.199657
3.062629	0.021278
-0.979873	0.015917
-0.580671	-0.087639
-3.091658	-0.131498
-2.393732	-0.043351
-3.094719	-0.082955
-2.438131	0.021832
-1.480256	-0.112440
2.028821	-0.179242
0.403580	-0.116545
0.928894	-0.061591
1.107118	-0.187097
-1.434091	-0.153340
0.507482	0.062227
-0.243456	-0.085280
-0.393293	-0.024984
-0.810628	0.019060
-0.116545	-0.018987
-2.840288	-0.058745
2.208040	-0.089483
-2.520332	-0.143238
-1.796743	0.045372
-2.621255	-0.101576
-0.596905	-0.047552
0.583238	-0.175531
-0.509089	-0.151142
-2.217330	0.027486
1.880402	-0.128741
-3.050982	-0.088770
-3.032718	-0.095257
2.311427	-0.034824
2.893145	-0.163063
0.283832	-0.049809
-0.228070	0.028135
2.314148	-0.073082
1.485297	-0.005260
2.506120	0.035432
1.734177	-0.099489
0.271244	-0.056514
1.733228	0.046960
-1.931932	0.037808
0.957894	-0.042899
0.548222	0.043352
-2.645025	-0.070943
1.895990	0.003747
0.474737	0.038556
2.841607	0.055205
-1.087690	-0.156820
0.137690	0.004084
1.257897	-0.180533
-2.786049	0.003629
-1.747238	-0.171531
0.465383	-0.204088
-3.016520	0.053907
0.141892	-0.062895
2.615639	0.042109
2.606244	0.032738
1.776992	-0.186989
-2.026796	-0.034898
-1.829526	-0.002948
3.103067	0.012317
0.820623	-0.141651
-0.770338	0.027750
2.958900	-0.187091
-0.472721	0.012188
3.011673	-0.053713
-0.857401	-0.193621
-2.846303	-0.205073
-0.788991	-0.179915
0.980759	0.028687
-0.167618	-0.000920
2.383476	-0.107487
1.994191	-0.043650
-0.862929	-0.092004
-2.057543	0.023947
0.107098	0.033790
1.410474	-0.083507
2.058056	-0.190671
-2.885422	0.051336
2.234578	0.037343
-1.814803	0.036090
-1.173443	0.018404
-2.228754	-0.097098
-1.183793	-0.109463
-2.451200	-0.139505
-1.758429	-0.012634
-1.018294	-0.094137
0.456735	-0.198577
2.139418	-0.100710
1.140449	0.035631
2.928869	-0.012284
3.108900	-0.068838
2.577234	0.012686
1.321251	-0.112417
2.183814	-0.199912
2.788709	-0.185560
0.484658	-0.187611
2.965104	-0.164321
0.616779	-0.109848
1.891824	-0.160021
1.912824	-0.108964
0.722828	-0.055730
1.461972	-0.206325
2.991621	-0.026402
-2.584675	-0.189586
2.882717	0.034746
1.710457	-0.036533
2.122747	-0.140723
-1.786395	-0.190538
1.954118	0.018810
0.919569	-0.043669
-0.673356	-0.197956
-0.215890	-0.065265
3.054545	-0.139618
-1.430622	-0.142053
0.140312	-0.064475
-0.097674	-0.207127
-1.285518	-0.191460
-2.090831	-0.181097
-1.482624	-0.083021
2.079360	0.043977
