# ra_cadidates 	 dec_candidates
1.719264	-0.115984
-2.398065	0.000643
1.769395	-0.070369
0.256211	-0.151288
0.352764	-0.167399
-0.032197	-0.131469
-2.888335	-0.191143
2.685544	0.061458
-1.544802	-0.080674
-0.604441	0.040706
2.486871	-0.063568
2.980341	-0.179474
2.612246	-0.193352
-0.878114	-0.135906
1.385912	-0.190643
-1.074475	-0.120548
0.681824	0.015968
-0.213943	-0.061152
-0.300810	-0.182043
-2.738854	-0.170315
-2.076101	0.005249
1.852323	-0.206426
2.587217	0.003829
1.483645	0.044606
-3.102169	-0.206940
0.091375	0.039509
0.201555	-0.157491
0.812578	-0.047126
2.033743	-0.066010
2.744841	-0.200104
0.618401	-0.030727
-2.847426	-0.196339
-1.521833	-0.079392
-1.904004	-0.180205
1.582232	-0.098840
-1.230480	-0.072861
2.229537	-0.027276
0.168506	-0.185017
0.427515	-0.043686
-2.922437	-0.166492
2.446415	-0.020553
2.566007	-0.154145
-1.650551	-0.189465
-0.493380	-0.080840
-0.523909	-0.132724
-2.762457	-0.053266
1.695180	0.047453
2.244654	-0.179578
2.977262	0.013512
-0.092971	-0.018683
-0.402223	-0.054804
-0.650654	-0.159177
-1.333485	-0.025260
1.489312	-0.064075
-2.096108	-0.113792
1.398015	-0.151627
-2.659459	-0.173617
-2.534829	0.009398
-0.371504	-0.100778
2.292478	-0.169961
-2.560972	0.038736
2.526985	-0.136055
1.745167	0.014358
-2.696767	-0.011379
-1.006319	-0.066292
0.241156	-0.202259
-0.952579	-0.200401
-0.317320	-0.022649
0.505433	-0.150508
1.589699	-0.175483
1.450286	0.040136
0.568832	0.041593
2.471141	0.053524
0.058742	-0.073702
1.686765	-0.110673
1.975749	-0.044182
3.122591	-0.090557
0.984454	0.055482
1.255653	-0.049469
-3.036466	0.005691
-2.619702	0.005520
-2.547298	-0.142802
-2.680361	-0.181764
-2.473428	-0.075181
0.896928	0.011436
2.415076	-0.194510
1.279101	-0.130200
0.227114	-0.149975
0.222594	-0.132716
1.514136	-0.000000
1.732591	-0.051000
1.820335	0.000290
2.370803	-0.118858
-0.884257	-0.178942
