# ra_cadidates 	 dec_candidates
-0.413109	0.041667
2.757063	-0.154062
0.181477	-0.172915
-1.058001	-0.140786
-0.142296	0.026255
2.863553	-0.179575
0.423227	-0.042933
-0.954070	-0.091714
-0.349889	0.029702
2.195607	-0.151784
-0.340868	-0.093072
-0.124195	-0.035216
1.457330	-0.065632
2.680890	-0.033329
-2.429846	-0.179117
1.454958	0.047734
1.759038	-0.059496
-2.666178	-0.041051
1.957476	-0.107893
-0.754199	-0.022801
-0.211650	-0.046836
-0.324137	0.040735
0.089399	-0.113509
0.896864	-0.046622
2.875639	-0.045550
-2.627745	-0.040324
1.292650	0.047040
-1.479766	0.023049
-2.816523	0.036344
-0.981968	-0.097951
0.691630	0.038963
-3.025822	-0.064640
2.629151	-0.005749
-0.056190	-0.172024
2.045073	-0.208595
0.731279	-0.099286
0.551537	0.050113
2.706230	-0.051861
0.442773	-0.105308
-0.303407	-0.051604
1.647949	-0.000788
-1.899008	-0.168057
-1.664462	0.052206
-0.314131	-0.063946
-2.876303	-0.123861
2.586367	-0.117755
1.435862	0.041918
-1.331657	-0.189251
0.573331	-0.175498
2.112088	0.027942
-0.018132	-0.081296
0.212066	-0.091932
2.401241	0.046973
-1.659131	-0.098748
0.264431	-0.166504
-1.482539	-0.140955
-0.403589	-0.155768
