# ra_detected 	 dec_detected
-1.776475	-0.172949
-0.901956	-0.134659
-0.402200	-0.140246
1.087298	-0.174401
2.954219	-0.070764
0.141114	-0.088185
0.874058	-0.204887
-2.519298	0.054392
2.619707	-0.021504
1.811819	-0.011531
-0.496380	-0.110023
-0.953000	-0.143486
-0.345322	-0.184024
1.946761	-0.164840
1.229267	-0.005531
-1.476876	-0.158308
-0.475356	-0.042369
-1.568061	-0.168365
2.346119	0.047148
-0.012110	-0.141473
0.927677	0.032536
0.409117	-0.017262
1.542499	0.017065
2.774871	-0.078447
-2.343841	0.043354
-2.002025	-0.161977
2.840967	-0.029805
3.140174	-0.137215
0.340509	-0.115735
-1.216986	0.000070
0.139892	-0.157550
1.892068	0.006086
0.695404	-0.022695
0.375990	-0.184493
0.494181	-0.164846
2.662888	-0.052006
1.799286	-0.095635
-1.005458	-0.200410
-1.377591	0.022622
-0.614373	0.015637
-1.097483	-0.169249
0.279522	0.014057
-2.113875	0.046210
1.469183	-0.070684
-1.683981	-0.198688
1.795438	-0.093974
1.148003	0.002399
-2.795564	-0.184511
0.850044	-0.015104
-2.210166	-0.163368
2.755262	0.062884
1.122807	-0.136930
0.568671	-0.074614
-0.666039	-0.160941
0.822816	-0.152472
-0.668026	-0.069384
-1.457475	0.056082
-0.454226	-0.058565
-2.483297	-0.005817
2.617774	0.011364
0.520949	-0.121131
0.780402	-0.023584
-2.758067	-0.171158
-2.640163	-0.007944
-3.027237	-0.112847
2.779648	-0.086757
0.193468	-0.061901
-2.258209	-0.189179
-0.112316	-0.079280
1.451177	-0.101628
-0.028293	-0.165334
-1.671250	0.028421
2.742876	-0.126313
-2.448383	-0.030569
-1.152276	-0.026688
-0.392446	-0.050435
-1.358037	-0.020847
2.494078	-0.164660
0.228404	-0.002871
2.966041	-0.145602
0.897101	0.046098
1.541395	-0.010109
1.916708	0.049484
1.327677	-0.178846
1.084043	-0.175187
-2.623309	-0.054958
1.873308	0.026465
1.771475	0.024426
3.072907	-0.197262
-0.271136	0.028762
-0.416389	0.042118
-0.073496	0.015648
-0.772733	-0.175501
1.873908	-0.039139
0.257636	-0.195677
2.248018	-0.088082
3.078536	-0.164557
1.039780	-0.186872
-3.011635	-0.143401
-2.956545	0.005434
2.887323	-0.097496
0.066773	-0.013897
1.919333	-0.067125
3.092094	-0.076167
2.322053	-0.166167
-2.578672	0.050000
-0.016121	-0.058600
0.167809	-0.199732
2.508852	-0.095838
1.397466	0.026712
1.830420	-0.182764
0.883036	-0.040267
-0.580133	-0.197988
1.955872	-0.049626
1.112996	0.014091
-1.573996	-0.146528
1.074689	-0.148740
1.807430	-0.202634
1.950653	-0.114332
0.342290	-0.085606
-1.803792	0.054240
-2.574683	0.027718
2.486919	-0.128655
-1.849295	0.000227
0.775145	-0.194081
2.155080	0.050421
2.235387	0.002953
-0.437423	0.002338
1.491670	-0.010164
3.021975	-0.076825
0.266002	-0.103581
-1.894599	-0.045086
-1.920097	0.051956
1.167751	-0.098344
1.088911	-0.193538
0.895009	-0.015289
-2.673620	-0.100629
-1.097417	-0.053238
-0.499973	-0.074265
2.362551	-0.160133
-0.233406	-0.070524
2.775576	0.004131
-0.012524	0.055916
0.314302	0.014204
1.594785	0.057336
1.815416	-0.192695
-1.771550	-0.105609
1.636418	-0.076388
2.994856	-0.153811
0.047140	-0.133506
-0.549202	-0.086358
1.715116	-0.052301
2.212663	-0.024595
-0.074868	-0.041998
-2.750132	-0.082571
-2.027298	-0.011831
1.824400	-0.131672
-0.709683	-0.098082
-2.669199	-0.158626
0.934893	-0.022760
-1.492194	-0.023180
-0.531766	-0.143287
-1.040273	-0.011207
-2.615706	-0.177700
-0.796403	-0.192944
-1.715434	-0.080621
-0.574183	-0.174629
-3.126908	-0.063087
3.050938	-0.009615
-0.571550	-0.193830
-2.735818	-0.090063
1.701698	-0.112228
0.988994	-0.118477
-2.939641	-0.194917
-2.452586	0.003069
0.996104	-0.029443
-0.229731	-0.020911
-1.147212	-0.034287
-1.315440	-0.180323
-0.723356	-0.060444
-0.028544	-0.187329
0.867663	-0.115864
-0.315729	0.001462
0.668200	-0.123258
0.154492	-0.174461
2.570699	0.038920
-0.970509	-0.065277
-1.096478	-0.039180
0.279828	-0.164866
-0.674624	-0.186770
-3.043460	-0.158171
2.073950	-0.106499
-0.528492	-0.198136
2.660049	-0.005030
-2.645063	-0.168973
1.886550	-0.104301
-1.877607	-0.068934
0.364692	-0.055542
1.541330	0.007430
0.375958	-0.066054
1.505464	-0.125758
-0.839233	-0.038748
1.300663	-0.112846
-1.867889	-0.171285
-0.283190	0.027739
-0.747620	-0.018038
1.165926	0.036020
2.224962	-0.078017
2.284495	0.048833
-1.493447	-0.197384
1.253871	-0.016686
2.431813	-0.076957
-0.543185	-0.210005
-0.218668	-0.053549
2.770768	-0.126915
2.919315	0.013078
2.384297	-0.123240
1.326051	-0.072366
1.137161	-0.086790
-0.546957	-0.045660
2.088357	-0.158809
0.711216	-0.032159
1.648601	-0.145249
1.664066	-0.039370
0.674375	-0.011082
3.072364	-0.090676
1.324496	-0.097955
-1.252559	-0.032693
-2.577390	-0.074963
0.098309	-0.166282
-0.583381	-0.025776
0.873727	-0.070237
-3.062458	-0.157924
