# ra_detected 	 dec_detected
-2.974631	-0.028334
-2.166870	-0.006557
0.890744	-0.155310
1.197547	-0.156131
-0.026737	0.020717
-2.492591	-0.122552
2.607115	-0.160530
1.797601	-0.044998
-2.070498	-0.088393
-1.951276	-0.181613
0.798696	-0.112329
2.044241	-0.195233
-1.298979	0.000573
2.843256	-0.177801
0.265740	0.013249
-0.664050	-0.194909
1.316088	-0.144520
0.445650	-0.210532
2.467466	0.010317
-0.377469	-0.081269
1.481314	-0.101703
2.817021	-0.168689
0.967669	-0.052011
2.434395	-0.134580
2.976820	0.031944
2.698035	-0.115998
-0.908381	0.047657
-2.149126	-0.063694
2.381151	-0.060516
-0.119266	-0.026530
1.428734	-0.014860
-1.348329	-0.025246
-2.599758	-0.088100
-1.498257	-0.017878
-2.580195	-0.106526
1.728238	-0.119359
-1.949234	-0.150017
1.479887	-0.031116
-0.537513	-0.152479
-0.460385	0.051009
-2.543876	-0.024007
2.133336	-0.063167
-0.201054	-0.202743
-3.139999	-0.105965
-0.507318	-0.013970
-1.522168	0.047671
1.528094	-0.020184
1.023796	0.023983
2.600034	-0.172460
-0.352992	-0.190046
-2.434842	-0.045565
0.904271	-0.140831
1.966951	-0.150155
1.079953	-0.140219
-2.302607	-0.152757
0.958054	-0.189859
3.059203	-0.185672
1.110156	-0.093473
-0.383454	-0.070925
1.142182	-0.170267
-1.521656	0.023219
1.084723	-0.114674
-1.619126	-0.068937
0.761076	-0.104810
2.805154	-0.054328
0.048012	0.006872
0.874416	-0.085606
-1.874040	-0.089872
2.040398	-0.001776
2.894056	0.017372
2.513849	0.060147
1.250152	0.058973
0.165378	-0.157188
1.875330	0.042975
1.200337	0.008584
-0.613811	-0.071348
0.294270	-0.172049
-2.113260	-0.161511
0.868376	-0.157999
1.005669	-0.065624
-1.201806	0.028124
-0.452068	0.054799
1.421184	-0.195994
-0.603942	-0.070159
0.011943	-0.199221
0.565970	0.031276
-1.250749	0.022856
-0.651857	-0.060717
1.777645	-0.118859
0.048065	0.058191
1.826924	0.059236
-2.332830	-0.106318
2.048058	-0.013412
-2.467977	0.042255
-0.031885	-0.094125
0.342404	0.040626
0.887024	0.049984
1.824412	-0.084414
3.091679	-0.109190
0.733198	-0.195942
0.228646	-0.009766
-3.067076	-0.202954
-0.763743	-0.152945
-2.847268	-0.198726
0.337822	-0.213808
0.837878	0.015485
2.528063	-0.109713
2.252924	-0.186876
-2.624813	-0.090243
-1.228672	-0.071421
-0.013364	-0.178639
1.295128	-0.165182
-1.410829	-0.034383
1.537571	-0.199564
1.049664	-0.192342
0.556953	-0.012183
2.296347	-0.161220
1.750838	-0.104463
0.043745	0.009336
2.603755	-0.128671
1.029615	0.036750
3.126294	0.061899
-1.717066	-0.000874
-0.752585	-0.201344
-1.299530	-0.065066
0.087148	-0.152772
-2.265384	-0.061625
-0.986463	-0.096321
0.411370	-0.002132
-2.759380	-0.126163
2.910517	0.002121
2.750893	-0.004321
2.068318	-0.053638
-1.929574	-0.171659
-0.658950	0.052891
-0.178532	0.020886
2.529313	0.027921
-0.656493	-0.040283
1.718779	-0.086260
0.035757	-0.103026
0.324140	-0.049786
3.064852	-0.201259
1.939966	0.043278
-1.267212	0.011709
1.329745	0.000530
-0.115743	-0.099364
-0.806598	-0.114577
-0.456334	0.047439
-1.183623	-0.202714
-2.568293	-0.098675
2.258381	-0.061198
0.192357	-0.205360
-0.508896	0.043785
0.002870	-0.167411
0.147356	-0.150788
0.713879	-0.183106
0.229323	0.015110
2.355055	-0.071708
-1.382462	-0.206122
0.624633	-0.149563
-0.668058	-0.032441
-1.733421	-0.111981
0.391136	0.024136
-0.619177	-0.164146
-2.849124	-0.123972
0.015300	-0.127928
0.739473	-0.190598
0.930790	-0.156469
1.995794	-0.152315
1.936204	-0.047578
-0.666553	0.050842
0.250931	-0.143682
2.789831	-0.136776
-0.763919	-0.063560
1.444252	0.026346
-1.127566	-0.200303
1.356284	-0.153168
-2.815400	-0.142066
-1.579406	-0.030138
0.883099	-0.129968
-2.483347	-0.146411
-0.438815	-0.045599
-0.885645	0.057047
-0.191553	-0.014437
-0.856900	-0.169095
0.863535	-0.030442
-2.646620	-0.165268
3.114655	-0.162666
2.556639	-0.123954
-0.307138	-0.064590
0.623434	-0.166689
2.208685	-0.163495
-2.866195	-0.131407
1.503249	-0.132292
1.207071	0.051252
-2.467873	-0.166628
3.002575	-0.161545
-1.614866	-0.147276
2.339781	-0.140413
0.926005	-0.127861
-1.181909	0.031615
2.261243	0.034033
0.732828	-0.107980
-1.280500	-0.150715
2.216749	-0.056119
2.886549	-0.053866
-2.406719	-0.099848
-1.437071	-0.157065
1.385808	-0.029820
-0.127237	-0.181624
1.729413	-0.037868
