# ra_detected 	 dec_detected
0.036606	0.036584
2.073529	-0.142401
-2.518824	0.035756
-1.389033	-0.139996
2.473647	-0.050052
0.552896	-0.188748
-3.137731	0.008886
-2.929721	-0.188425
1.721787	0.055182
-2.087952	-0.055985
-2.422448	-0.157493
1.863064	-0.052781
0.000545	-0.014756
-1.505982	-0.043149
0.953243	-0.127655
-0.614074	-0.101784
1.489316	0.054763
-2.842582	0.051522
2.368856	-0.074436
1.277040	-0.115228
-0.946959	0.020162
2.134096	-0.038876
2.152866	-0.003763
1.505495	-0.195604
0.032925	-0.130706
1.731203	-0.095436
0.527706	-0.037562
1.071624	-0.093436
2.825678	0.057808
2.029452	-0.108913
-0.639508	-0.171101
2.130231	0.017386
-2.681999	0.045768
-3.093761	-0.037833
1.509577	-0.192757
1.150491	-0.007790
0.178092	-0.002928
-0.686720	-0.065390
2.179231	0.045248
2.338475	-0.157466
2.498324	-0.122273
-1.989794	-0.177109
-0.841025	-0.125053
-1.172978	-0.174383
1.435748	0.055444
-2.619651	-0.052386
1.406589	0.055772
-2.381644	-0.047365
-1.519613	-0.024092
2.179699	-0.199062
-0.112055	-0.066556
-0.886884	0.009976
0.988867	-0.016306
2.978199	-0.043773
1.715033	-0.174491
