# ra_detected 	 dec_detected
3.130920	-0.044023
-0.553369	-0.010866
2.342917	-0.195728
-0.104521	0.054656
-2.796573	0.025633
1.742682	-0.035308
-0.654115	-0.132397
-0.184541	-0.029502
2.126645	0.011537
1.261032	-0.020159
2.126733	0.016017
1.740324	-0.200340
0.519503	-0.148768
-3.019761	0.061798
-2.695149	-0.122234
2.869587	0.046375
2.175333	-0.054205
-1.010097	-0.156813
0.999484	-0.014427
-0.717974	-0.151542
1.585013	-0.020688
-0.979269	-0.097924
-1.893308	-0.133073
1.416591	0.034574
1.548682	-0.114619
2.491819	-0.098926
0.491655	-0.014131
0.205271	-0.050628
1.445080	-0.053402
-2.915722	0.056867
-2.884080	-0.144488
-0.074586	-0.077023
2.122501	-0.172661
0.346188	0.019167
-0.960579	-0.143778
-0.778094	-0.177384
2.870495	-0.051405
-0.077041	-0.173392
-2.430544	-0.088553
1.479084	-0.207379
1.253215	-0.121452
-2.309072	-0.038575
0.990144	0.050461
-1.491720	-0.171528
1.824289	-0.014190
-0.065826	-0.036846
-0.071687	-0.076606
1.665777	-0.117123
-1.222578	0.028018
