# z 	 DM_ext
0.065748	63.200151
0.089074	107.589702
0.222212	92.801507
0.164077	144.903353
0.284410	315.434864
0.330052	328.539597
0.108960	92.243546
0.138810	146.318469
0.173693	255.750965
0.004347	13.633686
0.146875	157.903978
0.023439	49.034804
0.115070	214.341835
0.079535	98.716166
0.338291	606.550359
0.145106	120.964094
0.528147	422.655338
0.250277	321.687683
0.379005	241.062559
0.207877	373.356655
0.078186	85.865124
0.476670	593.707184
0.185367	212.878745
0.084741	16.350845
0.058433	107.727013
0.192032	292.486504
0.407897	814.648678
0.225892	209.699504
0.092891	107.837458
0.217532	368.058716
0.308236	227.450976
0.011554	19.856900
0.023862	10.202397
0.282153	582.162184
0.022211	26.461937
0.114842	195.989788
0.161326	157.090906
0.038046	42.986264
0.120232	257.103316
0.163824	165.886418
0.424063	466.583537
0.386047	267.162936
0.191214	146.528881
0.068921	130.319499
0.393349	340.227188
0.405325	415.439322
0.056784	28.856969
0.174629	308.588562
0.084883	147.342510
0.197957	289.991971
0.051252	33.258085
0.305088	328.896361
0.199226	39.158805
0.051407	49.528985
0.281183	250.871622
0.068202	181.918368
0.006974	53.773389
0.036976	67.680493
0.336412	348.014836
0.581176	586.144901
0.593225	197.114493
0.073701	154.950492
0.114705	170.776308
0.086950	133.664486
0.140041	240.809890
0.020759	66.820413
0.076308	79.197338
0.175245	187.641211
0.337951	667.419020
0.191159	257.761332
0.108894	223.671813
0.038430	26.777075
0.356318	301.514803
0.016024	24.356667
0.023189	20.765178
0.254330	436.681963
0.288491	365.494255
0.109978	285.467396
0.004403	4.438604
0.117801	25.469539
0.091622	36.910976
0.481355	351.048155
0.220138	288.994663
0.227181	129.993183
0.415625	409.154324
0.429209	579.074645
0.164809	74.354768
0.065682	25.164252
0.321448	340.593679
0.307108	395.107178
0.251958	454.017575
0.164061	263.566237
0.116500	310.369571
0.430312	327.673929
0.091274	100.331143
0.061774	144.357904
0.108332	210.860880
0.049627	93.228368
0.308394	314.590417
0.164231	47.200113
0.005249	40.133730
0.221019	110.824911
0.112563	40.106094
0.144508	234.100443
0.185727	138.278689
0.078671	69.769002
0.060913	208.564143
0.252810	231.300639
0.028247	12.571140
0.042054	84.044566
0.056008	128.664204
0.351576	264.031453
0.445284	625.782927
0.055324	62.693467
0.043220	85.365770
0.162253	66.087263
0.112382	123.677059
0.313595	333.799095
0.234032	317.616813
0.621782	728.993461
0.159774	282.314683
0.173976	97.396223
0.049403	83.137355
0.219826	108.324007
0.014998	40.022499
0.202816	220.360881
0.002776	18.686304
0.252470	108.520125
0.167200	296.422859
0.027408	32.006452
0.218735	192.327030
0.045400	74.796866
0.141840	92.559224
0.569298	427.913746
0.513627	487.375861
0.240010	61.784476
0.419992	674.917672
0.004069	26.178685
0.417548	412.667033
0.099273	66.962690
0.137996	166.622266
0.090698	42.741237
0.132203	120.986721
0.081020	20.219788
0.080381	140.441101
0.096870	68.429420
0.030644	60.609962
0.277260	34.192326
0.332828	353.189692
0.224519	7.045792
0.094607	233.798529
0.153554	185.608343
0.049956	26.208526
0.439172	397.524487
0.273273	74.767016
0.058026	88.328770
0.105586	90.617779
0.068852	89.501148
0.088866	83.680520
0.019543	47.649064
0.177056	187.074320
0.103301	213.234232
0.227454	435.989035
0.014898	50.528757
0.211622	158.833131
0.470937	628.775604
0.238606	247.911196
0.626638	623.590440
0.066597	195.285486
0.001534	16.541847
0.106095	147.021272
0.367373	450.999994
0.065663	22.259746
0.170658	329.682255
0.258898	215.546367
0.458644	557.145314
0.259743	491.689570
0.254955	349.067273
0.234059	412.176303
0.386890	163.002584
0.043992	93.101015
0.026380	44.913407
0.101359	153.817491
0.379206	199.307213
0.205836	265.330039
0.603827	413.089858
0.100111	37.120668
0.074561	89.959591
0.016263	33.183339
0.288078	554.582177
0.525326	661.213528
0.294495	339.366585
0.136261	92.127500
0.044219	31.723715
0.289891	344.282459
0.045493	39.921165
0.222059	303.116925
0.141811	67.486294
0.114650	120.579737
0.141579	229.749801
0.058898	142.044677
0.103980	104.128562
0.125881	84.287883
0.284090	549.352723
0.169059	260.591340
0.053250	126.453371
0.421471	307.806947
0.076660	87.196056
0.076584	16.792257
0.604990	386.404333
0.161495	105.344464
0.334878	292.623489
0.136646	432.244354
0.052174	66.369737
0.127304	189.001583
0.127630	271.036841
0.036484	31.856255
0.098195	41.030647
0.081123	64.288345
0.147461	292.432232
0.388986	498.817641
0.092221	112.585904
0.194135	316.349443
0.249953	164.130682
0.534298	462.985704
0.173555	205.011626
0.132101	222.447636
0.035936	32.444614
0.178656	108.986766
0.382534	377.978633
0.108169	56.022387
0.109461	180.289934
0.078526	126.681167
0.104497	130.403554
0.148905	283.422985
0.161069	245.740897
0.129672	62.776347
0.024567	39.101628
0.073297	66.409160
0.193443	330.627514
0.177513	264.554982
0.233135	230.437722
0.326090	480.137984
0.013370	16.500242
0.052893	120.548252
0.213051	38.606519
0.423555	241.985272
0.515620	658.815027
0.394176	218.803301
0.327746	425.053350
0.126733	207.664851
0.244566	307.085391
0.059816	133.854571
0.145199	158.523820
0.276699	460.752183
0.273152	301.266714
0.054133	90.264737
0.030857	49.496289
0.004044	18.342568
0.012281	25.501931
0.211832	280.596363
0.105120	76.734366
0.152180	45.705530
0.050949	160.143843
0.232190	120.927227
0.228108	295.264098
0.514548	512.274152
0.310520	477.719953
0.156963	253.186918
0.141099	59.460591
0.197573	208.687376
0.336989	85.436938
0.039962	47.546643
0.060675	108.831216
0.011456	23.996152
0.116089	228.618429
0.022429	19.132812
0.154013	50.964133
0.471733	141.640585
0.064879	48.835388
0.373520	382.000933
0.277091	117.794843
0.105152	374.061737
0.304783	810.171529
0.225147	237.026968
0.002366	9.506321
0.523594	829.184065
0.259030	383.708560
0.252511	144.654055
0.037361	77.612058
0.153242	307.219502
0.581240	568.176437
0.139201	214.807626
0.048015	98.233959
0.213369	106.302462
0.175859	51.005334
0.152606	296.112688
0.164656	285.824448
0.164025	192.811414
0.436587	523.301288
0.092618	162.885664
0.432019	433.474496
0.032590	44.193643
0.277363	291.757175
0.259516	493.457237
0.068208	148.881421
0.068871	84.623152
0.332805	232.349770
0.103021	230.997017
0.329258	393.155318
0.199333	195.338861
0.088099	34.677730
0.302659	443.560872
0.624485	564.075671
0.560568	634.208155
0.081631	107.987334
0.007286	26.337066
0.451443	494.749136
0.282639	342.466292
0.192478	56.817490
0.136008	209.246919
0.472435	325.272203
0.166090	152.063879
0.165967	182.660472
0.188036	260.376250
0.253567	346.884938
0.659625	807.245358
0.139344	43.186516
0.000451	12.047762
0.187011	140.014867
0.132706	135.051732
0.346265	443.155946
0.059547	42.504592
0.052969	76.706586
0.338192	558.539568
0.203379	301.091269
0.419653	555.712998
0.117226	256.001413
0.082333	80.837789
0.075017	151.379483
0.076456	17.217336
0.096463	48.737868
0.377287	317.160130
0.170805	113.111772
0.152191	174.364546
0.033369	32.779293
0.041895	161.369655
0.285858	442.251950
0.130716	351.611031
0.610845	810.192155
0.026610	82.755734
0.031550	31.230179
0.214636	218.100053
0.001955	20.332729
0.143820	216.862018
0.054335	119.954693
0.135262	148.518375
0.132621	114.635458
0.033609	60.500670
0.038768	43.435729
0.266119	363.810888
0.141358	140.039053
0.094567	222.053845
0.134695	286.275922
0.127819	52.514767
0.036808	168.227194
0.060334	195.487440
0.461000	541.384690
0.417558	592.632193
0.376249	66.368896
0.269546	542.369108
0.265179	290.835944
0.152363	306.312585
0.010080	88.899180
0.187560	304.165742
0.088442	103.838703
0.136270	120.264834
0.412310	701.885652
0.297543	384.445978
0.254615	398.196162
0.098329	122.264029
0.217836	411.635781
0.442107	580.350983
0.074902	21.180375
0.155195	254.292962
0.197166	18.087296
0.127550	243.321863
0.143385	121.403171
0.197071	239.980555
0.388130	522.985439
0.132084	180.172392
0.028581	73.902747
0.059555	154.481158
0.058847	96.394706
0.136312	170.087612
0.177684	114.029973
0.016326	30.970386
0.546629	367.359049
0.135266	183.946075
