Name              Redshift   DM_obs     Errors    DM_MW
FRB 20181030A     0.00385    103.5      0.3       41.0
FRB 20180814A     0.068      190.9      0.076     87.0
FRB 20220319D     0.011228   110.98     0.02      65.25
FRB 20121102A     0.19273    557.0      2.0       188.0
FRB 20171020A     0.0086     114.1      0.2       38.0
FRB 20180301A     0.3304     522.0      0.2       152.0
FRB 20180916B     0.0337     349.3      0.2       200.0
FRB 20180924B     0.3214     361.42     0.06      40.5
FRB 20181112A     0.4755     589.27     0.03      102.0
FRB 20181220A     0.02746    209.4      0.1       126.0
FRB 20181223C     0.03024    112.5      0.1       20.0
FRB 20190102C     0.291      363.6      0.3       57.3
FRB 20190110C     0.12244    221.6      1.6       37.1
FRB 20190303A     0.064      222.4      0.7       29.0
FRB 20190418A     0.07132    184.5      0.1       71.0
FRB 20190425A     0.03122    128.2      0.1       49.0
#FRB 20190520B     0.241      1204.7     10.0      113.0
FRB 20190523A     0.66       760.8      0.6       37.0
FRB 20190608B     0.1178     338.7      0.5       37.2
FRB 20190611B     0.3778     321.4      0.2       57.83
FRB 20190614D     0.6        959.2      5.0       83.5
FRB 20190711A     0.522      593.1      0.4       56.4
FRB 20190714A     0.2365     504.0      2.0       39.0
FRB 20191001A     0.234      506.92     0.04      44.7
FRB 20191106C     0.10775    332.2      0.7       25.0
FRB 20191228A     0.2432     297.50     0.05      33.0
FRB 20200223B     0.0602     201.8      0.4       45.6
FRB 20200430A     0.16       380.1      0.4       27.0
FRB 20200906A     0.3688     577.80     0.02      36.0
FRB 20201123A     0.05       433.55     0.36      251.93
FRB 20201124A     0.098      413.52     0.05      123.2
FRB 20210117A     0.2145     730.0      1.0       34.4
FRB 20210320C     0.2797     384.8      0.3       42.0
FRB 20210405I     0.066      565.17     0.49      516.1
FRB 20210410D     0.1415     578.78     2.00      56.2
FRB 20210603A     0.177      500.147    0.004     40.0
FRB 20210807D     0.12927    251.9      0.2       121.2
FRB 20211127I     0.0469     234.83     0.08      42.5
FRB 20211203C     0.3437     636.2      0.4       63.0
FRB 20211212A     0.0715     206.0      5.0       27.1
FRB 20220105A     0.2785     583.0      2.0       22.0
FRB 20220207C     0.04304    262.38     0.01      79.3
FRB 20220307B     0.248123   499.27     0.06      135.7
FRB 20220310F     0.477958   462.240    0.005     45.4
FRB 20220418A     0.622      623.25     0.01      37.6
FRB 20220501C     0.381      449.5      0.2       31.0
FRB 20220506D     0.30039    396.97     0.02      89.1
FRB 20220509G     0.0894     269.53     0.02      55.2
#FRB 20220610A     1.017      1458.0     0.2       31.0
FRB 20220725A     0.1926     290.4      0.3       31.0
FRB 20220825A     0.241397   651.24     0.06      79.7
FRB 20220912A     0.077      219.46     0.04      125.0
FRB 20220914A     0.1139     631.28     0.04      55.2
FRB 20220918A     0.491      656.8      0.4       41.0
FRB 20220920A     0.158239   314.99     0.01      40.3
FRB 20221012A     0.284669   441.08     0.70      54.4
FRB 20221106A     0.2044     343.8      0.8       35.0
FRB 20230526A     0.157      361.4      0.2       50.0
FRB 20230708A     0.105      411.51     0.05      50.0
FRB 20230718A     0.0357     476.6      0.5       393.0
FRB 20230902A     0.3619     440.1      0.1       34.0
FRB 20231226A     0.1569     329.9      0.1       145.0
FRB 20240114A     0.42       527.7      0.1       40.0
FRB 20240201A     0.042729   374.5      0.2       38.0
FRB 20240210A     0.023686   283.73     0.05      31.0
FRB 20240310A     0.127      601.8      0.2       36.0

